tipo_celular,module_size,TFEB_MM,TFEB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.099,11.0,97,2,2.06,2.56 (1.98-3.14),95,97.94,3.07 (2.67-3.47)
T cells 18,393.0,0.208,76.0,59,4,6.78,3.74 (3.16-4.31),55,93.22,3.05 (2.52-3.59)
astrocytes 5,165.0,0.101,7.0,51,1,1.96,NA,50,98.04,5.35 (4.68-6.01)
oligodendrocyte progenitor cells 7,229.0,0.224,65.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,637.0,0.245,74.0,91,15,16.48,1.59 (0.97-2.22),76,83.52,5.38 (4.96-5.81)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.204,48.0,74,1,1.35,1.74 (NA-NA),73,98.65,5.54 (5.00-6.08)
oligodendrocytes 20,403.0,0.123,50.0,18,8,44.44,0.72 (0.51-0.92),10,55.56,2.81 (1.96-3.65)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,771.0,0.254,75.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708.0,0.276,84.0,32,11,34.38,1.37 (0.66-2.08),21,65.62,4.29 (3.40-5.17)
oligodendrocytes 10,1277.0,0.219,95.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,250.0,0.255,33.0,117,8,6.84,2.38 (1.74-3.01),109,93.16,5.64 (5.27-6.02)
astrocytes 15,458.0,0.18,81.0,36,1,2.78,4.73 (NA-NA),35,97.22,3.72 (2.59-4.86)
oligodendrocytes 16,74.0,0.339,96.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,124.0,0.321,54.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA)
astrocytes 4,1807.0,0.145,50.0,104,22,21.15,1.69 (1.25-2.12),82,78.85,3.21 (2.91-3.51)
oligodendrocytes 0,1186.0,0.138,37.0,300,12,4.0,3.78 (2.62-4.94),288,96.0,3.79 (3.58-4.00)
microglia 1,1615.0,0.089,21.0,161,57,35.4,2.35 (1.93-2.77),104,64.6,3.93 (3.67-4.20)
oligodendrocytes 3,681.0,0.144,84.0,87,43,49.43,2.10 (1.83-2.36),44,50.57,3.12 (2.69-3.55)
oligodendrocytes 2,407.0,0.174,69.0,122,57,46.72,2.33 (1.95-2.72),65,53.28,4.67 (4.16-5.17)
