tipo_celular,module_size,ABHD8_MM,ABHD8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.122,69.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,848.0,0.172,33.0,262,8,3.05,2.99 (1.33-4.64),254,96.95,4.18 (3.93-4.43)
GLU like neurons 17,1247.0,0.054,4.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,1220.0,0.095,13.0,410,8,1.95,2.99 (1.33-4.64),402,98.05,4.26 (4.08-4.45)
GABA neurons expressing GABA receptors 13,70.0,0.19,61.0,4,0,0.0,NA,4,100.0,3.85 (3.81-3.89)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.136,20.0,455,10,2.2,2.14 (0.66-3.62),445,97.8,4.38 (4.20-4.57)
astrocytes 8,1266.0,0.108,71.0,66,2,3.03,0.45 (0.32-0.59),64,96.97,3.33 (2.92-3.74)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,145.0,0.336,72.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1768.0,0.044,9.0,105,2,1.9,1.25 (-0.12-2.62),103,98.1,3.25 (2.92-3.59)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,448.0,0.098,47.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,76.0,0.368,82.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.131,26.0,104,2,1.92,1.25 (-0.12-2.62),102,98.08,2.90 (2.61-3.18)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
