tipo_celular,module_size,CBX5_MM,CBX5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184.0,0.36,97.0,21,13,61.9,1.72 (1.03-2.40),8,38.1,3.39 (2.56-4.21)
T cells 18,727.0,0.144,51.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,499.0,0.099,8.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,4285.0,0.122,29.0,353,72,20.4,2.30 (2.00-2.61),281,79.6,4.39 (4.21-4.57)
GABA neurons expressing GLU receptors 22,848.0,0.234,59.0,262,12,4.58,2.07 (1.13-3.02),250,95.42,4.28 (4.03-4.52)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.106,18.0,410,7,1.71,1.64 (1.01-2.28),403,98.29,4.30 (4.12-4.49)
GABA neurons expressing GABA receptors 13,238.0,0.19,65.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,559.0,0.085,16.0,155,1,0.65,NA,154,99.35,4.34 (3.97-4.70)
oligodendrocytes 20,250.0,0.132,25.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2402.0,0.314,69.0,455,28,6.15,1.87 (1.37-2.37),427,93.85,4.56 (4.39-4.74)
astrocytes 8,260.0,0.07,17.0,4,3,75.0,1.99 (0.00-3.99),1,25.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.119,89.0,276,55,19.93,2.19 (1.91-2.47),221,80.07,3.94 (3.71-4.18)
oligodendrocytes 10,735.0,0.093,48.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,111.0,0.304,57.0,26,2,7.69,2.44 (1.01-3.87),24,92.31,2.53 (1.81-3.26)
astrocytes 15,1401.0,0.127,80.0,96,6,6.25,2.77 (1.36-4.17),90,93.75,3.67 (3.20-4.14)
oligodendrocytes 16,121.0,0.214,53.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89)
da neurons 6,553.0,0.211,87.0,124,2,1.61,1.26 (-0.42-2.94),122,98.39,4.25 (3.86-4.64)
astrocytes microglia 23,92.0,0.407,92.0,11,0,0.0,NA,11,100.0,4.35 (3.80-4.91)
astrocytes 4,787.0,0.154,56.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,613.0,0.138,45.0,127,27,21.26,2.75 (2.19-3.30),100,78.74,3.17 (2.64-3.71)
microglia 1,1615.0,0.079,9.0,161,60,37.27,2.30 (1.95-2.64),101,62.73,3.99 (3.69-4.30)
oligodendrocytes 3,681.0,0.07,25.0,87,61,70.11,2.38 (2.10-2.66),26,29.89,3.09 (2.49-3.68)
oligodendrocytes 2,528.0,0.168,28.0,175,1,0.57,5.16 (NA-NA),174,99.43,4.37 (4.02-4.72)
