tipo_celular,module_size,OCRL_MM,OCRL_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.106,12.0,32,7,21.88,4.06 (3.14-4.99),25,78.12,3.60 (2.60-4.61)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.144,90.0,136,3,2.21,2.74 (1.34-4.15),133,97.79,3.22 (2.94-3.50)
oligodendrocyte progenitor cells 7,4285.0,0.107,14.0,353,47,13.31,3.09 (2.42-3.76),306,86.69,4.02 (3.84-4.20)
GABA neurons expressing GLU receptors 22,848.0,0.09,5.0,262,22,8.4,2.81 (2.21-3.41),240,91.6,4.32 (4.06-4.58)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.156,40.0,410,16,3.9,3.08 (2.68-3.49),394,96.1,4.31 (4.12-4.50)
GABA neurons expressing GABA receptors 13,73.0,0.152,41.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.095,7.0,455,26,5.71,2.34 (1.72-2.96),429,94.29,4.51 (4.33-4.70)
astrocytes 8,520.0,0.075,28.0,288,23,7.99,3.47 (2.92-4.01),265,92.01,4.24 (4.03-4.45)
oligodendrocyte progenitor cells 12,3303.0,0.055,20.0,276,36,13.04,3.87 (3.11-4.62),240,86.96,3.49 (3.27-3.71)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,418.0,0.039,18.0,54,7,12.96,4.24 (3.04-5.44),47,87.04,3.60 (3.13-4.07)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,307.0,0.122,52.0,95,4,4.21,5.64 (NA-NA),91,95.79,4.83 (4.39-5.28)
astrocytes microglia 23,58.0,0.241,15.0,6,0,0.0,NA,6,100.0,5.75 (NA-NA)
astrocytes 4,1807.0,0.16,79.0,104,12,11.54,1.69 (1.00-2.38),92,88.46,3.03 (2.74-3.32)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,958.0,0.066,2.0,290,6,2.07,2.70 (2.06-3.33),284,97.93,3.84 (3.61-4.08)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
