tipo_celular,module_size,ABCA2_MM,ABCA2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,349.0,0.372,86.0,68,16,23.53,2.98 (2.20-3.75),52,76.47,4.99 (4.36-5.62)
astrocytes 5,165.0,0.19,50.0,51,1,1.96,NA,50,98.04,5.35 (4.68-6.01)
oligodendrocyte progenitor cells 7,229.0,0.318,87.0,45,1,2.22,5.19 (NA-NA),44,97.78,5.00 (4.36-5.63)
GABA neurons expressing GLU receptors 22,599.0,0.163,27.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,637.0,0.26,77.0,91,23,25.27,2.63 (1.88-3.38),68,74.73,5.53 (5.05-6.01)
da like neurons 11,408.0,0.402,85.0,25,13,52.0,4.50 (2.65-6.36),12,48.0,4.82 (3.13-6.50)
GABA neurons expressing GABA receptors 13,288.0,0.199,62.0,93,22,23.66,3.57 (2.81-4.34),71,76.34,5.85 (5.33-6.38)
endothelial cells 9,450.0,0.569,92.0,74,6,8.11,4.79 (3.04-6.54),68,91.89,5.56 (4.98-6.14)
oligodendrocytes 20,358.0,0.081,26.0,31,1,3.23,3.24 (NA-NA),30,96.77,2.33 (1.89-2.77)
GABA like neurons 14,2402.0,0.084,5.0,455,65,14.29,3.28 (2.86-3.70),390,85.71,4.60 (4.41-4.80)
astrocytes 8,771.0,0.502,93.0,48,4,8.33,0.79 (NA-NA),44,91.67,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708.0,0.419,94.0,25,4,16.0,3.10 (0.14-6.06),21,84.0,2.83 (1.77-3.89)
oligodendrocytes 10,204.0,0.476,65.0,92,6,6.52,3.80 (1.31-6.29),86,93.48,5.81 (5.34-6.28)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,458.0,0.263,89.0,36,2,5.56,3.38 (NA-NA),34,94.44,3.78 (2.65-4.92)
oligodendrocytes 16,287.0,0.333,55.0,105,21,20.0,3.09 (2.42-3.77),84,80.0,5.92 (5.55-6.30)
da neurons 6,398.0,0.226,76.0,138,23,16.67,3.07 (2.38-3.76),115,83.33,5.25 (4.87-5.63)
astrocytes microglia 23,54.0,0.279,33.0,29,4,13.79,6.33 (NA-NA),25,86.21,6.74 (6.04-7.43)
astrocytes 4,102.0,0.175,38.0,42,1,2.38,5.19 (NA-NA),41,97.62,5.70 (4.96-6.44)
oligodendrocytes 0,546.0,0.161,45.0,252,46,18.25,2.98 (2.45-3.51),206,81.75,4.42 (4.16-4.68)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,127.0,0.288,61.0,45,22,48.89,4.38 (3.19-5.57),23,51.11,4.21 (3.02-5.41)
oligodendrocytes 2,528.0,0.258,76.0,175,29,16.57,3.99 (3.35-4.63),146,83.43,4.50 (4.09-4.91)
