tipo_celular,module_size,RNF169_MM,RNF169_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211.0,0.124,27.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,610.0,0.088,8.0,98,31,31.63,1.92 (1.50-2.34),67,68.37,3.74 (3.41-4.07)
astrocytes 5,1141.0,0.121,34.0,166,40,24.1,2.26 (1.91-2.61),126,75.9,3.76 (3.48-4.04)
oligodendrocyte progenitor cells 7,4285.0,0.148,70.0,353,56,15.86,2.50 (2.09-2.90),297,84.14,4.20 (4.02-4.39)
GABA neurons expressing GLU receptors 22,703.0,0.171,42.0,23,2,8.7,1.85 (0.53-3.17),21,91.3,2.12 (1.34-2.89)
GLU like neurons 17,1316.0,0.072,8.0,101,2,1.98,2.53 (NA-NA),99,98.02,3.06 (2.70-3.41)
da like neurons 11,853.0,0.145,60.0,133,34,25.56,2.06 (1.62-2.49),99,74.44,3.69 (3.33-4.04)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.147,65.0,297,15,5.05,3.64 (2.83-4.44),282,94.95,3.68 (3.47-3.88)
oligodendrocytes 20,295.0,0.247,73.0,28,4,14.29,3.31 (2.06-4.57),24,85.71,1.99 (1.53-2.44)
GABA like neurons 14,3052.0,0.219,96.0,125,6,4.8,3.27 (2.97-3.57),119,95.2,3.36 (3.02-3.69)
astrocytes 8,771.0,0.072,26.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,3303.0,0.099,74.0,276,36,13.04,2.19 (1.85-2.54),240,86.96,3.78 (3.54-4.01)
oligodendrocytes 10,2107.0,0.144,49.0,358,63,17.6,2.45 (2.06-2.84),295,82.4,4.23 (4.04-4.42)
connective tissue cells 21,111.0,0.282,45.0,10,1,10.0,NA,9,90.0,2.44 (1.89-3.00)
astrocytes 15,458.0,0.072,36.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,90.0,0.177,34.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,78.0,0.252,10.0,3,0,0.0,NA,3,100.0,0.39 (0.24-0.54)
astrocytes 4,721.0,0.16,68.0,61,1,1.64,NA,60,98.36,2.97 (2.55-3.38)
oligodendrocytes 0,613.0,0.152,58.0,127,16,12.6,2.69 (2.17-3.21),111,87.4,3.13 (2.64-3.62)
microglia 1,1615.0,0.108,48.0,161,51,31.68,2.53 (2.06-2.99),110,68.32,3.66 (3.36-3.96)
oligodendrocytes 3,681.0,0.103,58.0,87,35,40.23,2.25 (1.88-2.62),52,59.77,2.82 (2.45-3.19)
oligodendrocytes 2,921.0,0.149,70.0,200,6,3.0,2.90 (2.75-3.04),194,97.0,3.64 (3.36-3.91)
