tipo_celular,module_size,LIMD1_MM,LIMD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.205,69.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,624.0,0.15,47.0,142,2,1.41,4.27 (NA-NA),140,98.59,3.20 (2.93-3.47)
astrocytes 5,1656.0,0.097,22.0,136,7,5.15,2.26 (1.28-3.24),129,94.85,3.27 (2.99-3.55)
oligodendrocyte progenitor cells 7,4285.0,0.148,70.0,353,65,18.41,2.23 (1.92-2.54),288,81.59,4.37 (4.19-4.55)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,354.0,0.108,44.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,708.0,0.095,42.0,32,14,43.75,1.90 (1.03-2.77),18,56.25,4.25 (3.23-5.27)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.064,27.0,105,24,22.86,2.05 (1.50-2.59),81,77.14,3.57 (3.21-3.94)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,131.0,0.292,44.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.125,18.0,104,28,26.92,2.04 (1.56-2.52),76,73.08,3.20 (2.89-3.51)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,958.0,0.153,91.0,290,41,14.14,3.66 (3.06-4.26),249,85.86,3.84 (3.59-4.09)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
