tipo_celular,module_size,GPR155_MM,GPR155_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.183,71.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,388.0,0.149,48.0,84,2,2.38,3.65 (3.57-3.74),82,97.62,2.96 (2.62-3.29)
astrocytes 5,1656.0,0.111,42.0,136,1,0.74,1.23 (NA-NA),135,99.26,3.23 (2.95-3.50)
oligodendrocyte progenitor cells 7,4285.0,0.144,64.0,353,14,3.97,1.27 (0.72-1.82),339,96.03,4.03 (3.85-4.21)
GABA neurons expressing GLU receptors 22,848.0,0.332,82.0,262,18,6.87,2.99 (2.20-3.77),244,93.13,4.25 (4.00-4.51)
GLU like neurons 17,380.0,0.181,56.0,39,1,2.56,1.74 (NA-NA),38,97.44,3.00 (2.44-3.56)
da like neurons 11,132.0,0.243,51.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22)
GABA neurons expressing GABA receptors 13,357.0,0.186,63.0,237,1,0.42,2.39 (NA-NA),236,99.58,4.42 (4.19-4.65)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,358.0,0.189,66.0,31,1,3.23,2.80 (NA-NA),30,96.77,2.34 (1.90-2.79)
GABA like neurons 14,2402.0,0.113,12.0,455,24,5.27,2.40 (1.69-3.11),431,94.73,4.47 (4.28-4.65)
astrocytes 8,603.0,0.027,3.0,89,2,2.25,2.02 (0.48-3.55),87,97.75,2.78 (2.42-3.14)
oligodendrocyte progenitor cells 12,3303.0,0.104,78.0,276,7,2.54,1.43 (0.75-2.10),269,97.46,3.60 (3.39-3.82)
oligodendrocytes 10,806.0,0.068,14.0,261,15,5.75,3.34 (2.69-4.00),246,94.25,4.42 (4.17-4.67)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.078,43.0,96,2,2.08,1.93 (1.64-2.21),94,97.92,3.66 (3.20-4.11)
oligodendrocytes 16,91.0,0.2,39.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518.0,0.177,90.0,122,13,10.66,1.30 (0.59-2.01),109,89.34,4.28 (3.90-4.66)
astrocytes microglia 23,140.0,0.178,1.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,1807.0,0.143,46.0,104,6,5.77,1.37 (0.42-2.31),98,94.23,2.96 (2.68-3.24)
oligodendrocytes 0,309.0,0.133,50.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,480.0,0.157,33.0,163,14,8.59,3.41 (2.96-3.85),149,91.41,3.74 (3.45-4.03)
oligodendrocytes 3,854.0,0.103,64.0,76,2,2.63,0.72 (-0.29-1.73),74,97.37,2.84 (2.51-3.17)
oligodendrocytes 2,1630.0,0.143,52.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
