tipo_celular,module_size,UBN1_MM,UBN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206.0,0.267,80.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,393.0,0.187,68.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,1656.0,0.119,55.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.127,36.0,353,26,7.37,1.98 (1.40-2.57),327,92.63,4.07 (3.88-4.25)
GABA neurons expressing GLU receptors 22,714.0,0.158,36.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,215.0,0.236,64.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.078,7.0,141,0,0.0,NA,141,100.0,2.96 (2.72-3.20)
oligodendrocytes 20,348.0,0.05,22.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,2090.0,0.141,41.0,74,1,1.35,NA,73,98.65,2.94 (2.57-3.32)
astrocytes 8,603.0,0.043,13.0,89,2,2.25,4.13 (3.00-5.25),87,97.75,2.72 (2.36-3.07)
oligodendrocyte progenitor cells 12,708.0,0.042,9.0,32,10,31.25,1.82 (0.43-3.21),22,68.75,3.92 (3.06-4.78)
oligodendrocytes 10,483.0,0.045,8.0,129,2,1.55,4.13 (3.00-5.25),127,98.45,3.41 (3.02-3.81)
connective tissue cells 21,102.0,0.356,77.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.041,8.0,105,10,9.52,1.58 (1.07-2.09),95,90.48,3.38 (3.03-3.73)
oligodendrocytes 16,116.0,0.224,65.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,125.0,0.31,44.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77)
astrocytes 4,1807.0,0.162,81.0,104,11,10.58,1.79 (1.09-2.49),93,89.42,2.99 (2.69-3.28)
oligodendrocytes 0,2078.0,0.103,27.0,238,4,1.68,3.15 (0.26-6.03),234,98.32,3.64 (3.42-3.86)
microglia 1,958.0,0.106,43.0,290,9,3.1,2.64 (1.94-3.34),281,96.9,3.86 (3.63-4.10)
oligodendrocytes 3,357.0,0.051,9.0,127,2,1.57,4.62 (4.62-4.62),125,98.43,3.09 (2.76-3.42)
oligodendrocytes 2,1630.0,0.145,58.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
