tipo_celular,module_size,ACBD3_MM,ACBD3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178,0.203,38.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,477,0.138,35.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1656,0.1,26.0,136,1,0.74,3.31 (NA-NA),135,99.26,3.21 (2.93-3.48)
oligodendrocyte progenitor cells 7,666,0.188,65.0,127,0,0.0,NA,127,100.0,3.83 (3.49-4.17)
GABA neurons expressing GLU receptors 22,703,0.264,88.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,1316,0.175,86.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,101,0.246,53.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,70,0.19,60.0,4,0,0.0,NA,4,100.0,3.85 (3.81-3.89)
endothelial cells 9,559,0.063,7.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,279,0.168,34.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,2402,0.173,32.0,455,11,2.42,1.37 (0.56-2.17),444,97.58,4.44 (4.26-4.63)
astrocytes 8,577,0.085,50.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70)
oligodendrocyte progenitor cells 12,3303,0.044,10.0,276,4,1.45,2.01 (0.90-3.13),272,98.55,3.57 (3.35-3.79)
oligodendrocytes 10,735,0.057,17.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,106,0.313,67.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06)
astrocytes 15,443,0.109,17.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,82,0.264,80.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518,0.074,11.0,122,9,7.38,1.39 (0.82-1.95),113,92.62,4.27 (3.88-4.65)
astrocytes microglia 23,51,0.454,98.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,514,0.128,15.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79)
oligodendrocytes 0,2078,0.095,15.0,238,1,0.42,3.31 (NA-NA),237,99.58,3.64 (3.42-3.86)
microglia 1,958,0.125,69.0,290,0,0.0,NA,290,100.0,3.81 (3.58-4.04)
oligodendrocytes 3,639,0.049,7.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82)
oligodendrocytes 2,1630,0.14,46.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
