tipo_celular,module_size,FADS2_MM,FADS2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,117.0,0.175,65.0,28,1,3.57,2.43 (NA-NA),27,96.43,5.43 (4.87-5.98)
oligodendrocyte progenitor cells 7,4285.0,0.093,6.0,353,16,4.53,1.18 (0.71-1.66),337,95.47,4.06 (3.88-4.23)
GABA neurons expressing GLU receptors 22,1069.0,0.194,71.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.126,29.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,1266.0,0.127,80.0,66,6,9.09,0.50 (0.30-0.70),60,90.91,3.55 (3.17-3.93)
oligodendrocyte progenitor cells 12,1049.0,0.036,5.0,235,6,2.55,3.50 (2.61-4.39),229,97.45,3.83 (3.60-4.07)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,301.0,0.336,40.0,158,2,1.27,1.39 (-0.26-3.05),156,98.73,4.31 (3.94-4.67)
astrocytes 15,1401.0,0.106,68.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,131.0,0.299,54.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,251.0,0.112,11.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
