tipo_celular,module_size,KLHL24_MM,KLHL24_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.245,86.0,19,1,5.26,4.44 (NA-NA),18,94.74,2.41 (1.69-3.14)
T cells 18,349,0.207,59.0,68,3,4.41,4.02 (1.73-6.31),65,95.59,4.39 (3.81-4.97)
astrocytes 5,932,0.101,39.0,80,1,1.25,4.57 (NA-NA),79,98.75,3.66 (3.24-4.07)
oligodendrocyte progenitor cells 7,4285,0.091,5.0,353,24,6.8,2.34 (1.70-2.98),329,93.2,4.04 (3.85-4.22)
GABA neurons expressing GLU receptors 22,823,0.168,43.0,23,3,13.04,2.38 (1.03-3.73),20,86.96,2.40 (1.55-3.24)
GLU like neurons 17,1247,0.224,90.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,289,0.134,29.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,77,0.248,91.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,450,0.161,35.0,74,3,4.05,3.88 (1.74-6.02),71,95.95,5.57 (5.00-6.13)
oligodendrocytes 20,348,0.166,61.0,33,2,6.06,3.07 (2.93-3.20),31,93.94,2.71 (2.19-3.23)
GABA like neurons 14,1300,0.244,67.0,306,10,3.27,3.26 (2.16-4.36),296,96.73,5.19 (4.92-5.45)
astrocytes 8,354,0.183,81.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,218,0.285,56.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,130,0.249,21.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,104,0.218,14.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,458,0.143,72.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,151,0.098,0.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,398,0.15,50.0,138,8,5.8,3.05 (1.77-4.33),130,94.2,4.95 (4.58-5.33)
astrocytes microglia 23,190,0.28,58.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92)
astrocytes 4,255,0.151,32.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,613,0.168,72.0,127,3,2.36,1.78 (0.87-2.70),124,97.64,3.10 (2.68-3.53)
microglia 1,1615,0.176,97.0,161,21,13.04,2.41 (1.69-3.14),140,86.96,3.44 (3.15-3.72)
oligodendrocytes 3,681,0.138,81.0,87,11,12.64,1.81 (1.10-2.53),76,87.36,2.71 (2.42-2.99)
oligodendrocytes 2,921,0.113,14.0,200,3,1.5,3.26 (1.74-4.79),197,98.5,3.63 (3.36-3.90)
