tipo_celular,module_size,ENPP2_MM,ENPP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,229.0,0.472,96.0,45,8,17.78,5.24 (4.85-5.63),37,82.22,4.95 (4.18-5.71)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,637.0,0.501,96.0,91,10,10.99,2.58 (1.41-3.76),81,89.01,4.76 (4.22-5.31)
da like neurons 11,408.0,0.653,98.0,25,5,20.0,1.23 (0.82-1.64),20,80.0,5.74 (4.43-7.05)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.6,94.0,74,7,9.46,5.60 (3.82-7.38),67,90.54,5.44 (4.86-6.02)
oligodendrocytes 20,279.0,0.067,8.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,3052.0,0.118,32.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.594,99.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,204.0,0.54,85.0,92,6,6.52,2.53 (2.34-2.73),86,93.48,5.82 (5.36-6.28)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,287.0,0.197,25.0,105,37,35.24,4.41 (3.56-5.25),68,64.76,5.61 (5.22-5.99)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,86.0,0.142,37.0,2,0,0.0,NA,2,100.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,99.0,0.175,25.0,24,5,20.83,7.43 (6.41-8.46),19,79.17,6.11 (5.30-6.91)
oligodendrocytes 2,237.0,0.191,35.0,26,5,19.23,NA,21,80.77,5.22 (4.28-6.15)
