tipo_celular,module_size,WHRN_MM,WHRN_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,477.0,0.23,83.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,932.0,0.104,43.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,666.0,0.216,78.0,127,2,1.57,3.46 (0.72-6.21),125,98.43,3.84 (3.50-4.18)
GABA neurons expressing GLU receptors 22,703.0,0.226,74.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,1247.0,0.134,50.0,51,1,1.96,2.00 (NA-NA),50,98.04,3.66 (3.08-4.25)
da like neurons 11,145.0,0.163,32.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,322.0,0.106,41.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,3052.0,0.126,38.0,125,1,0.8,NA,124,99.2,3.35 (3.03-3.68)
astrocytes 8,577.0,0.077,44.0,83,1,1.2,5.51 (NA-NA),82,98.8,3.22 (2.77-3.67)
oligodendrocyte progenitor cells 12,708.0,0.073,26.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,1277.0,0.141,70.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,106.0,0.197,17.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA)
astrocytes 15,1768.0,0.047,12.0,105,9,8.57,1.85 (1.05-2.66),96,91.43,3.35 (3.00-3.70)
oligodendrocytes 16,81.0,0.151,33.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,131.0,0.263,26.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.139,29.0,65,2,3.08,4.33 (NA-NA),63,96.92,2.94 (2.54-3.33)
oligodendrocytes 0,1186.0,0.163,79.0,300,1,0.33,2.06 (NA-NA),299,99.67,3.80 (3.59-4.01)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.119,71.0,111,1,0.9,NA,110,99.1,3.30 (2.96-3.64)
oligodendrocytes 2,804.0,0.163,62.0,84,5,5.95,1.08 (0.51-1.66),79,94.05,2.82 (2.48-3.16)
