tipo_celular,module_size,ARHGEF17_MM,ARHGEF17_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,117.0,0.087,5.0,28,2,7.14,2.42 (2.37-2.47),26,92.86,5.56 (5.04-6.07)
oligodendrocyte progenitor cells 7,4285.0,0.123,31.0,353,11,3.12,2.13 (1.08-3.19),342,96.88,3.96 (3.78-4.15)
GABA neurons expressing GLU receptors 22,1069.0,0.187,66.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1316.0,0.103,31.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,853.0,0.169,72.0,133,6,4.51,3.60 (1.93-5.28),127,95.49,3.23 (2.92-3.55)
GABA neurons expressing GABA receptors 13,266.0,0.098,12.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09)
endothelial cells 9,586.0,0.488,89.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.143,54.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,603.0,0.091,60.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11)
oligodendrocyte progenitor cells 12,3303.0,0.066,33.0,276,4,1.45,1.10 (0.52-1.69),272,98.55,3.59 (3.37-3.81)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,114.0,0.305,65.0,11,0,0.0,NA,11,100.0,1.61 (0.55-2.67)
astrocytes 15,1768.0,0.053,16.0,105,5,4.76,1.23 (0.54-1.93),100,95.24,3.32 (2.98-3.66)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,307.0,0.102,33.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,92.0,0.266,21.0,11,0,0.0,NA,11,100.0,4.35 (3.80-4.91)
astrocytes 4,721.0,0.126,11.0,61,2,3.28,1.74 (1.73-1.75),59,96.72,3.01 (2.59-3.43)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
