tipo_celular,module_size,ZFR_MM,ZFR_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218,0.181,30.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,624,0.228,92.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1141,0.123,37.0,166,1,0.6,0.55 (NA-NA),165,99.4,3.41 (3.16-3.66)
oligodendrocyte progenitor cells 7,448,0.092,15.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,848,0.194,44.0,262,3,1.15,1.67 (0.10-3.24),259,98.85,4.20 (3.95-4.44)
GLU like neurons 17,637,0.13,37.0,91,1,1.1,1.95 (NA-NA),90,98.9,4.58 (4.05-5.10)
da like neurons 11,137,0.263,45.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA)
GABA neurons expressing GABA receptors 13,357,0.098,14.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64)
endothelial cells 9,1653,0.123,47.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,330,0.162,47.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27)
GABA like neurons 14,1300,0.106,10.0,306,1,0.33,1.95 (NA-NA),305,99.67,5.11 (4.84-5.37)
astrocytes 8,727,0.117,56.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,218,0.361,78.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,2107,0.122,39.0,358,5,1.4,1.70 (0.83-2.57),353,98.6,3.90 (3.71-4.09)
connective tissue cells 21,114,0.265,39.0,11,0,0.0,NA,11,100.0,1.61 (0.55-2.67)
astrocytes 15,1768,0.083,47.0,105,5,4.76,1.70 (0.83-2.57),100,95.24,3.29 (2.95-3.64)
oligodendrocytes 16,69,0.14,9.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,518,0.139,77.0,122,2,1.64,2.58 (1.33-3.83),120,98.36,4.02 (3.62-4.42)
astrocytes microglia 23,255,0.252,47.0,57,0,0.0,NA,57,100.0,2.65 (2.29-3.01)
astrocytes 4,752,0.148,42.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,1186,0.151,61.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,958,0.112,51.0,290,2,0.69,4.19 (2.28-6.10),288,99.31,3.81 (3.58-4.04)
oligodendrocytes 3,1003,0.098,53.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804,0.126,19.0,84,0,0.0,NA,84,100.0,2.69 (2.35-3.02)
