tipo_celular,module_size,TSPYL2_MM,TSPYL2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,423.0,0.175,66.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,666.0,0.413,96.0,127,26,20.47,3.76 (3.15-4.38),101,79.53,3.86 (3.45-4.27)
GABA neurons expressing GLU receptors 22,1069.0,0.177,59.0,37,3,8.11,3.14 (1.04-5.24),34,91.89,2.05 (1.60-2.50)
GLU like neurons 17,1247.0,0.153,64.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,1220.0,0.137,33.0,410,5,1.22,2.69 (1.45-3.93),405,98.78,4.27 (4.09-4.46)
GABA neurons expressing GABA receptors 13,265.0,0.351,95.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77)
endothelial cells 9,385.0,0.146,77.0,275,37,13.45,2.01 (1.62-2.39),238,86.55,4.41 (4.14-4.67)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.27,60.0,455,21,4.62,1.81 (1.20-2.42),434,95.38,4.51 (4.34-4.69)
astrocytes 8,577.0,0.144,79.0,83,5,6.02,2.15 (1.34-2.97),78,93.98,3.34 (2.87-3.81)
oligodendrocyte progenitor cells 12,3303.0,0.096,71.0,276,34,12.32,2.20 (1.82-2.57),242,87.68,3.79 (3.56-4.02)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,111.0,0.309,67.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA)
astrocytes 15,443.0,0.183,73.0,9,1,11.11,3.13 (NA-NA),8,88.89,3.29 (1.80-4.77)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,300.0,0.172,55.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67)
astrocytes microglia 23,327.0,0.339,54.0,120,25,20.83,2.50 (1.95-3.04),95,79.17,3.99 (3.67-4.31)
astrocytes 4,514.0,0.309,87.0,95,6,6.32,1.95 (0.62-3.28),89,93.68,3.50 (3.07-3.93)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
