tipo_celular,module_size,MEGF8_MM,MEGF8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.075,4.0,136,3,2.21,1.40 (1.32-1.48),133,97.79,3.25 (2.98-3.53)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,848.0,0.297,75.0,262,34,12.98,4.78 (3.83-5.73),228,87.02,4.05 (3.82-4.29)
GLU like neurons 17,300.0,0.169,32.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93)
da like neurons 11,853.0,0.113,36.0,133,19,14.29,1.50 (1.09-1.91),114,85.71,3.61 (3.29-3.93)
GABA neurons expressing GABA receptors 13,357.0,0.15,42.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.152,26.0,455,18,3.96,1.42 (0.70-2.13),437,96.04,4.47 (4.29-4.65)
astrocytes 8,520.0,0.033,3.0,288,11,3.82,3.94 (2.34-5.53),277,96.18,4.18 (3.98-4.38)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.063,29.0,96,11,11.46,4.33 (3.11-5.55),85,88.54,3.50 (3.02-3.98)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,300.0,0.133,41.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67)
astrocytes microglia 23,131.0,0.322,49.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54)
astrocytes 4,1807.0,0.13,24.0,104,10,9.62,1.04 (0.72-1.37),94,90.38,3.07 (2.79-3.35)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
