tipo_celular,module_size,LGALS1_MM,LGALS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,506.0,0.244,66.0,225,27,12.0,3.32 (2.74-3.90),198,88.0,3.66 (3.38-3.93)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.26,73.0,410,18,4.39,3.57 (2.79-4.35),392,95.61,4.28 (4.09-4.47)
GABA neurons expressing GABA receptors 13,417.0,0.238,87.0,213,20,9.39,1.69 (1.00-2.39),193,90.61,3.98 (3.74-4.21)
endothelial cells 9,916.0,0.579,97.0,302,8,2.65,3.75 (2.37-5.13),294,97.35,3.99 (3.76-4.22)
oligodendrocytes 20,938.0,0.522,100.0,169,13,7.69,3.04 (1.94-4.14),156,92.31,3.51 (3.29-3.73)
GABA like neurons 14,2402.0,0.443,84.0,455,24,5.27,2.03 (1.33-2.74),431,94.73,4.49 (4.31-4.67)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,483.0,0.214,73.0,129,2,1.55,4.11 (3.81-4.41),127,98.45,3.41 (3.02-3.81)
connective tissue cells 21,301.0,0.596,91.0,158,19,12.03,3.88 (3.05-4.72),139,87.97,4.33 (3.92-4.74)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,96.0,0.272,70.0,102,17,16.67,2.32 (1.62-3.02),85,83.33,3.53 (3.18-3.89)
da neurons 6,729.0,0.268,92.0,182,1,0.55,1.55 (NA-NA),181,99.45,3.65 (3.40-3.90)
astrocytes microglia 23,43.0,0.583,100.0,3,0,0.0,NA,3,100.0,1.82 (NA-NA)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.148,36.0,252,26,10.32,2.03 (1.44-2.63),226,89.68,4.36 (4.12-4.60)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,303.0,0.332,99.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526.0,0.598,98.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
