tipo_celular,module_size,SNX10_MM,SNX10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.28,85.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91)
T cells 18,610.0,0.279,99.0,98,16,16.33,1.77 (1.04-2.49),82,83.67,3.40 (3.08-3.71)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,296.0,0.234,71.0,251,1,0.4,4.29 (NA-NA),250,99.6,4.06 (3.82-4.30)
GABA neurons expressing GLU receptors 22,599.0,0.145,18.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,1316.0,0.112,40.0,101,3,2.97,3.17 (2.85-3.49),98,97.03,3.05 (2.68-3.41)
da like neurons 11,1220.0,0.24,68.0,410,22,5.37,3.21 (2.80-3.62),388,94.63,4.33 (4.13-4.52)
GABA neurons expressing GABA receptors 13,266.0,0.195,68.0,118,1,0.85,3.28 (NA-NA),117,99.15,4.75 (4.40-5.11)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.251,56.0,455,29,6.37,2.60 (2.09-3.11),426,93.63,4.51 (4.32-4.70)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.074,44.0,276,18,6.52,2.67 (2.06-3.27),258,93.48,3.61 (3.38-3.84)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,139.0,0.326,61.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,307.0,0.214,94.0,95,2,2.11,3.91 (3.91-3.91),93,97.89,4.87 (4.43-5.32)
astrocytes microglia 23,108.0,0.306,42.0,8,0,0.0,NA,8,100.0,1.12 (0.45-1.80)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,214.0,0.17,47.0,227,5,2.2,3.33 (1.88-4.79),222,97.8,4.11 (3.87-4.35)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
