tipo_celular,module_size,ERH_MM,ERH_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,506.0,0.127,22.0,225,3,1.33,1.11 (0.53-1.69),222,98.67,3.66 (3.41-3.91)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.18,60.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,417.0,0.176,60.0,213,15,7.04,1.29 (0.64-1.94),198,92.96,4.00 (3.78-4.23)
endothelial cells 9,916.0,0.266,65.0,302,4,1.32,2.61 (0.25-4.97),298,98.68,4.00 (3.77-4.23)
oligodendrocytes 20,322.0,0.08,29.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2402.0,0.475,86.0,455,17,3.74,1.33 (0.78-1.89),438,96.26,4.51 (4.33-4.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.121,64.0,235,1,0.43,3.89 (NA-NA),234,99.57,3.82 (3.59-4.06)
oligodendrocytes 10,483.0,0.205,72.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,91.0,0.263,84.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
da neurons 6,729.0,0.19,69.0,182,1,0.55,1.55 (NA-NA),181,99.45,3.65 (3.40-3.90)
astrocytes microglia 23,72.0,0.383,81.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.13,27.0,252,15,5.95,1.20 (0.66-1.74),237,94.05,4.34 (4.11-4.57)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,303.0,0.086,25.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,528.0,0.209,55.0,175,1,0.57,7.00 (NA-NA),174,99.43,4.35 (4.00-4.70)
