tipo_celular,module_size,METTL2B_MM,METTL2B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.141,34.0,58,0,0.0,NA,58,100.0,4.17 (3.75-4.60)
oligodendrocyte progenitor cells 7,4285.0,0.158,83.0,353,22,6.23,1.89 (1.33-2.44),331,93.77,4.07 (3.88-4.25)
GABA neurons expressing GLU receptors 22,599.0,0.2,43.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,1247.0,0.139,54.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,140.0,0.181,35.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,233.0,0.202,55.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,2090.0,0.131,33.0,74,6,8.11,1.97 (1.61-2.33),68,91.89,3.04 (2.64-3.45)
astrocytes 8,283.0,0.093,24.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.031,3.0,276,17,6.16,1.90 (1.38-2.42),259,93.84,3.69 (3.46-3.91)
oligodendrocytes 10,2107.0,0.035,2.0,358,25,6.98,1.89 (1.33-2.44),333,93.02,4.04 (3.85-4.23)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.077,41.0,105,13,12.38,1.59 (1.09-2.09),92,87.62,3.46 (3.11-3.81)
oligodendrocytes 16,91.0,0.263,85.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,110.0,0.234,10.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,171.0,0.201,65.0,22,0,0.0,NA,22,100.0,4.54 (3.62-5.46)
oligodendrocytes 0,2078.0,0.089,9.0,238,10,4.2,3.06 (2.02-4.10),228,95.8,3.67 (3.44-3.89)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,94.0,0.065,27.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73)
oligodendrocytes 2,1630.0,0.136,37.0,154,2,1.3,5.16 (NA-NA),152,98.7,3.23 (2.96-3.50)
