tipo_celular,module_size,ZNF331_MM,ZNF331_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.512,99.0,102,14,13.73,1.55 (1.22-1.88),88,86.27,3.83 (3.45-4.20)
T cells 18,477.0,0.344,98.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,423.0,0.522,100.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,4285.0,0.15,73.0,353,26,7.37,1.70 (1.45-1.94),327,92.63,4.12 (3.94-4.30)
GABA neurons expressing GLU receptors 22,1069.0,0.179,61.0,37,4,10.81,2.06 (1.60-2.51),33,89.19,2.17 (1.65-2.69)
GLU like neurons 17,380.0,0.201,72.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,853.0,0.081,12.0,133,30,22.56,1.97 (1.69-2.25),103,77.44,3.72 (3.35-4.08)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.292,77.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,676.0,0.08,32.0,110,3,2.73,0.90 (0.75-1.04),107,97.27,5.16 (4.73-5.58)
GABA like neurons 14,2090.0,0.158,53.0,74,13,17.57,2.23 (1.94-2.52),61,82.43,3.12 (2.67-3.58)
astrocytes 8,577.0,0.412,100.0,83,3,3.61,1.55 (0.88-2.21),80,96.39,3.33 (2.87-3.79)
oligodendrocyte progenitor cells 12,708.0,0.014,0.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,1277.0,0.018,1.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,111.0,0.343,78.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,443.0,0.146,43.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55)
oligodendrocytes 16,75.0,0.148,19.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.599,97.0,120,6,5.0,1.27 (0.77-1.77),114,95.0,3.77 (3.47-4.06)
astrocytes 4,514.0,0.562,99.0,95,4,4.21,1.14 (0.66-1.61),91,95.79,3.50 (3.07-3.92)
oligodendrocytes 0,2078.0,0.107,35.0,238,8,3.36,2.01 (1.45-2.57),230,96.64,3.70 (3.48-3.93)
microglia 1,480.0,0.321,88.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,1003.0,0.064,15.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.156,80.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
