tipo_celular,module_size,POLA1_MM,POLA1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.202,76.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,624.0,0.25,96.0,142,7,4.93,3.38 (2.94-3.82),135,95.07,3.20 (2.92-3.48)
astrocytes 5,1141.0,0.123,36.0,166,35,21.08,2.07 (1.78-2.36),131,78.92,3.83 (3.55-4.10)
oligodendrocyte progenitor cells 7,4285.0,0.164,90.0,353,66,18.7,2.28 (1.95-2.61),287,81.3,4.38 (4.20-4.55)
GABA neurons expressing GLU receptors 22,714.0,0.141,25.0,17,6,35.29,2.69 (2.26-3.13),11,64.71,2.10 (1.23-2.96)
GLU like neurons 17,380.0,0.14,28.0,39,3,7.69,2.50 (1.67-3.34),36,92.31,3.01 (2.41-3.61)
da like neurons 11,209.0,0.13,29.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.118,42.0,297,12,4.04,3.38 (2.88-3.88),285,95.96,3.69 (3.48-3.90)
oligodendrocytes 20,330.0,0.357,95.0,36,16,44.44,2.01 (1.75-2.27),20,55.56,1.84 (1.22-2.46)
GABA like neurons 14,3052.0,0.125,38.0,125,5,4.0,3.75 (2.96-4.55),120,96.0,3.33 (2.99-3.67)
astrocytes 8,727.0,0.101,45.0,29,2,6.9,2.49 (1.16-3.83),27,93.1,2.35 (1.83-2.88)
oligodendrocyte progenitor cells 12,3303.0,0.083,55.0,276,48,17.39,2.09 (1.81-2.36),228,82.61,3.96 (3.73-4.19)
oligodendrocytes 10,2107.0,0.328,93.0,358,69,19.27,2.23 (1.92-2.54),289,80.73,4.40 (4.22-4.58)
connective tissue cells 21,112.0,0.219,38.0,7,2,28.57,2.00 (1.71-2.28),5,71.43,1.94 (0.81-3.06)
astrocytes 15,443.0,0.117,23.0,9,2,22.22,0.95 (NA-NA),7,77.78,3.60 (2.32-4.88)
oligodendrocytes 16,64.0,0.201,56.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,96.0,0.235,9.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.14,30.0,65,2,3.08,5.16 (5.16-5.16),63,96.92,2.87 (2.48-3.26)
oligodendrocytes 0,1186.0,0.146,53.0,300,10,3.33,3.49 (2.90-4.08),290,96.67,3.81 (3.59-4.02)
microglia 1,1615.0,0.115,59.0,161,53,32.92,2.05 (1.73-2.37),108,67.08,4.05 (3.77-4.33)
oligodendrocytes 3,1003.0,0.14,81.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804.0,0.172,71.0,84,10,11.9,1.80 (1.03-2.57),74,88.1,2.83 (2.47-3.18)
