tipo_celular,module_size,INTS9_MM,INTS9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206.0,0.26,77.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,624.0,0.143,42.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1141.0,0.094,9.0,166,27,16.27,1.85 (1.55-2.15),139,83.73,3.77 (3.51-4.03)
oligodendrocyte progenitor cells 7,4285.0,0.171,94.0,353,48,13.6,2.00 (1.68-2.32),305,86.4,4.30 (4.12-4.47)
GABA neurons expressing GLU receptors 22,400.0,0.125,12.0,24,8,33.33,0.92 (0.18-1.67),16,66.67,2.77 (2.35-3.19)
GLU like neurons 17,1316.0,0.105,34.0,101,3,2.97,5.35 (2.64-8.06),98,97.03,2.96 (2.63-3.30)
da like neurons 11,197.0,0.244,59.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,221.0,0.02,2.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,3052.0,0.091,12.0,125,3,2.4,5.51 (3.48-7.55),122,97.6,3.29 (2.97-3.60)
astrocytes 8,727.0,0.098,44.0,29,1,3.45,1.82 (NA-NA),28,96.55,2.39 (1.88-2.90)
oligodendrocyte progenitor cells 12,3303.0,0.124,91.0,276,39,14.13,2.14 (1.80-2.48),237,85.87,3.86 (3.63-4.09)
oligodendrocytes 10,2107.0,0.123,40.0,358,53,14.8,2.06 (1.72-2.41),305,85.2,4.31 (4.13-4.49)
connective tissue cells 21,139.0,0.299,55.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73)
astrocytes 15,1768.0,0.053,16.0,105,18,17.14,1.58 (1.21-1.95),87,82.86,3.58 (3.23-3.94)
oligodendrocytes 16,116.0,0.283,92.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,61.0,0.313,47.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.146,40.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,2078.0,0.112,45.0,238,16,6.72,3.14 (2.43-3.86),222,93.28,3.68 (3.45-3.91)
microglia 1,813.0,0.086,13.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,854.0,0.081,39.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,1630.0,0.11,6.0,154,6,3.9,4.77 (4.38-5.16),148,96.1,3.17 (2.90-3.44)
