tipo_celular,module_size,TP53BP2_MM,TP53BP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.069,3.0,102,18,17.65,2.81 (2.18-3.44),84,82.35,3.66 (3.24-4.07)
T cells 18,477.0,0.192,69.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,932.0,0.078,9.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,666.0,0.161,46.0,127,11,8.66,2.17 (1.52-2.82),116,91.34,4.08 (3.73-4.42)
GABA neurons expressing GLU receptors 22,599.0,0.302,86.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.096,41.0,275,26,9.45,2.46 (1.80-3.11),249,90.55,4.18 (3.91-4.45)
oligodendrocytes 20,403.0,0.025,3.0,18,7,38.89,0.99 (0.31-1.67),11,61.11,2.44 (1.55-3.33)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,260.0,0.053,11.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA)
oligodendrocyte progenitor cells 12,3303.0,0.045,11.0,276,12,4.35,1.92 (1.37-2.48),264,95.65,3.63 (3.41-3.85)
oligodendrocytes 10,2107.0,0.088,22.0,358,29,8.1,1.68 (1.24-2.11),329,91.9,4.09 (3.90-4.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.068,31.0,105,9,8.57,1.78 (1.19-2.38),96,91.43,3.36 (3.01-3.71)
oligodendrocytes 16,104.0,0.276,93.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,116.0,0.279,20.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80)
astrocytes 4,255.0,0.148,28.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,2078.0,0.147,97.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87)
microglia 1,480.0,0.18,45.0,163,4,2.45,2.33 (2.07-2.59),159,97.55,3.75 (3.48-4.02)
oligodendrocytes 3,1003.0,0.075,26.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.145,57.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
