tipo_celular,module_size,AGK_MM,AGK_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.075,3.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,393.0,0.109,18.0,59,3,5.08,3.65 (2.87-4.42),56,94.92,3.07 (2.54-3.60)
astrocytes 5,1656.0,0.104,32.0,136,3,2.21,3.89 (1.27-6.50),133,97.79,3.19 (2.92-3.46)
oligodendrocyte progenitor cells 7,4285.0,0.162,88.0,353,43,12.18,2.34 (1.94-2.73),310,87.82,4.18 (3.99-4.37)
GABA neurons expressing GLU receptors 22,1069.0,0.171,54.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1316.0,0.105,34.0,101,3,2.97,2.94 (1.70-4.18),98,97.03,3.06 (2.69-3.42)
da like neurons 11,140.0,0.178,34.0,1,1,100.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,322.0,0.138,58.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2090.0,0.093,10.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,283.0,0.142,53.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.127,93.0,276,26,9.42,2.62 (2.15-3.10),250,90.58,3.67 (3.44-3.90)
oligodendrocytes 10,2107.0,0.077,16.0,358,37,10.34,2.35 (1.89-2.80),321,89.66,4.11 (3.91-4.30)
connective tissue cells 21,86.0,0.246,30.0,7,0,0.0,NA,7,100.0,3.20 (2.46-3.95)
astrocytes 15,1401.0,0.033,5.0,96,5,5.21,3.21 (2.32-4.11),91,94.79,3.64 (3.16-4.11)
oligodendrocytes 16,51.0,0.217,34.0,1,0,0.0,NA,1,100.0,3.22 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,132.0,0.369,70.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,1807.0,0.154,67.0,104,19,18.27,2.34 (1.63-3.06),85,81.73,2.99 (2.69-3.29)
oligodendrocytes 0,2078.0,0.108,38.0,238,9,3.78,2.80 (1.92-3.67),229,96.22,3.68 (3.45-3.90)
microglia 1,813.0,0.106,37.0,79,2,2.53,2.30 (1.21-3.40),77,97.47,3.12 (2.71-3.54)
oligodendrocytes 3,854.0,0.08,38.0,76,4,5.26,3.03 (1.18-4.88),72,94.74,2.76 (2.43-3.10)
oligodendrocytes 2,1630.0,0.116,10.0,154,2,1.3,1.97 (1.67-2.26),152,98.7,3.26 (3.00-3.53)
