tipo_celular,module_size,ATP8A2_MM,ATP8A2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,436.0,0.094,25.0,219,12,5.48,4.19 (3.37-5.00),207,94.52,5.30 (5.00-5.60)
GABA neurons expressing GLU receptors 22,459.0,0.198,66.0,165,12,7.27,2.58 (1.90-3.26),153,92.73,5.36 (5.02-5.69)
GLU like neurons 17,795.0,0.284,92.0,80,4,5.0,3.48 (2.40-4.55),76,95.0,5.85 (5.45-6.25)
da like neurons 11,191.0,0.255,47.0,93,13,13.98,4.18 (3.32-5.03),80,86.02,5.99 (5.58-6.39)
GABA neurons expressing GABA receptors 13,357.0,0.224,75.0,237,2,0.84,3.65 (2.85-4.46),235,99.16,4.42 (4.18-4.65)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.263,75.0,306,30,9.8,2.98 (2.39-3.56),276,90.2,5.45 (5.20-5.71)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,143.0,0.444,60.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,307.0,0.128,59.0,95,1,1.05,2.92 (NA-NA),94,98.95,4.87 (4.43-5.31)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
