tipo_celular,module_size,ELAVL3_MM,ELAVL3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.131,78.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,666.0,0.135,25.0,127,0,0.0,NA,127,100.0,3.83 (3.49-4.17)
GABA neurons expressing GLU receptors 22,192.0,0.326,90.0,55,0,0.0,NA,55,100.0,4.03 (3.61-4.44)
GLU like neurons 17,1247.0,0.191,81.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,853.0,0.145,60.0,133,3,2.26,1.39 (1.08-1.71),130,97.74,3.29 (2.97-3.60)
GABA neurons expressing GABA receptors 13,238.0,0.221,76.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,450.0,0.182,42.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,676.0,0.088,33.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44)
GABA like neurons 14,1300.0,0.218,56.0,306,0,0.0,NA,306,100.0,5.09 (4.83-5.36)
astrocytes 8,771.0,0.165,59.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708.0,0.162,69.0,25,0,0.0,NA,25,100.0,2.87 (1.90-3.84)
oligodendrocytes 10,236.0,0.541,65.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.076,41.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,153.0,0.486,93.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,553.0,0.186,80.0,124,0,0.0,NA,124,100.0,4.18 (3.79-4.58)
astrocytes microglia 23,96.0,0.258,17.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.152,51.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,261.0,0.201,63.0,42,0,0.0,NA,42,100.0,4.06 (3.37-4.75)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,116.0,0.258,37.0,7,0,0.0,NA,7,100.0,3.71 (1.38-6.05)
oligodendrocytes 2,528.0,0.177,35.0,175,0,0.0,NA,175,100.0,4.38 (4.03-4.73)
