tipo_celular,module_size,PIGB_MM,PIGB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.086,5.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58)
T cells 18,477.0,0.106,13.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1656.0,0.122,61.0,136,10,7.35,3.08 (2.16-3.99),126,92.65,3.22 (2.94-3.50)
oligodendrocyte progenitor cells 7,4285.0,0.123,30.0,353,26,7.37,2.50 (1.67-3.32),327,92.63,4.04 (3.86-4.21)
GABA neurons expressing GLU receptors 22,823.0,0.184,53.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.133,45.0,125,3,2.4,5.77 (5.72-5.82),122,97.6,3.28 (2.96-3.60)
astrocytes 8,1266.0,0.07,37.0,66,7,10.61,0.81 (0.18-1.45),59,89.39,3.56 (3.18-3.95)
oligodendrocyte progenitor cells 12,3303.0,0.07,38.0,276,21,7.61,3.50 (2.66-4.34),255,92.39,3.55 (3.32-3.77)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.05,14.0,105,16,15.24,2.08 (1.50-2.66),89,84.76,3.44 (3.07-3.80)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,67.0,0.345,70.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.16,77.0,104,17,16.35,2.32 (1.58-3.06),87,83.65,2.98 (2.68-3.28)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,1615.0,0.072,5.0,161,15,9.32,1.03 (0.65-1.41),146,90.68,3.56 (3.30-3.82)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
