tipo_celular,module_size,TMED9_MM,TMED9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.233,83.0,97,6,6.19,3.59 (3.22-3.95),91,93.81,3.02 (2.60-3.44)
T cells 18,506.0,0.185,51.0,225,17,7.56,2.53 (1.92-3.15),208,92.44,3.70 (3.44-3.97)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.194,66.0,164,14,8.54,3.68 (3.00-4.37),150,91.46,4.12 (3.77-4.47)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,417.0,0.127,24.0,213,19,8.92,1.55 (0.86-2.23),194,91.08,3.98 (3.74-4.21)
endothelial cells 9,916.0,0.264,64.0,302,13,4.3,2.88 (2.18-3.58),289,95.7,4.05 (3.82-4.28)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.388,78.0,455,51,11.21,3.26 (2.83-3.69),404,88.79,4.51 (4.31-4.71)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.113,62.0,235,16,6.81,3.64 (3.01-4.26),219,93.19,3.84 (3.59-4.08)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,301.0,0.347,45.0,158,4,2.53,2.29 (1.07-3.51),154,97.47,4.33 (3.96-4.70)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,729.0,0.109,28.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,95.0,0.443,96.0,4,0,0.0,NA,4,100.0,0.43 (0.30-0.56)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,406.0,0.199,55.0,278,5,1.8,5.39 (5.04-5.74),273,98.2,4.34 (4.07-4.62)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
