tipo_celular,module_size,PLPP1_MM,PLPP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.262,75.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,610.0,0.122,26.0,98,8,8.16,1.07 (0.57-1.58),90,91.84,3.32 (3.01-3.63)
astrocytes 5,1141.0,0.198,100.0,166,9,5.42,1.57 (0.94-2.19),157,94.58,3.52 (3.27-3.77)
oligodendrocyte progenitor cells 7,666.0,0.188,65.0,127,18,14.17,2.84 (2.13-3.55),109,85.83,4.02 (3.66-4.39)
GABA neurons expressing GLU receptors 22,599.0,0.378,97.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,685.0,0.201,77.0,135,19,14.07,1.74 (1.16-2.31),116,85.93,3.36 (3.04-3.68)
da like neurons 11,137.0,0.355,78.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.257,66.0,120,20,16.67,3.76 (3.13-4.39),100,83.33,4.81 (4.46-5.16)
oligodendrocytes 20,322.0,0.131,54.0,10,1,10.0,5.51 (NA-NA),9,90.0,0.95 (0.38-1.52)
GABA like neurons 14,3052.0,0.178,81.0,125,1,0.8,8.28 (NA-NA),124,99.2,3.30 (2.99-3.61)
astrocytes 8,727.0,0.193,86.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,708.0,0.224,80.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,2107.0,0.184,64.0,358,16,4.47,1.68 (0.85-2.50),342,95.53,4.00 (3.81-4.19)
connective tissue cells 21,114.0,0.217,28.0,19,2,10.53,3.12 (1.99-4.25),17,89.47,5.13 (4.42-5.85)
astrocytes 15,1768.0,0.036,5.0,105,8,7.62,1.53 (0.83-2.24),97,92.38,3.36 (3.02-3.71)
oligodendrocytes 16,123.0,0.219,56.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,166.0,0.242,30.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36)
astrocytes 4,255.0,0.218,75.0,12,1,8.33,5.51 (NA-NA),11,91.67,4.44 (3.48-5.41)
oligodendrocytes 0,1186.0,0.139,39.0,300,2,0.67,3.12 (1.98-4.25),298,99.33,3.80 (3.59-4.01)
microglia 1,958.0,0.122,66.0,290,7,2.41,2.13 (1.24-3.03),283,97.59,3.87 (3.64-4.10)
oligodendrocytes 3,1003.0,0.118,70.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804.0,0.175,73.0,84,3,3.57,1.18 (-0.18-2.54),81,96.43,2.76 (2.42-3.10)
