tipo_celular,module_size,HIBCH_MM,HIBCH_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.185,73.0,71,1,1.41,0.21 (NA-NA),70,98.59,2.66 (2.25-3.07)
T cells 18,477.0,0.354,98.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1141.0,0.156,82.0,166,9,5.42,1.69 (0.99-2.40),157,94.58,3.51 (3.26-3.76)
oligodendrocyte progenitor cells 7,666.0,0.07,4.0,127,0,0.0,NA,127,100.0,3.83 (3.49-4.17)
GABA neurons expressing GLU receptors 22,823.0,0.162,40.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,1247.0,0.12,40.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,132.0,0.336,72.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.223,68.0,141,0,0.0,NA,141,100.0,2.96 (2.72-3.20)
oligodendrocytes 20,295.0,0.179,46.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,1300.0,0.337,95.0,306,1,0.33,0.21 (NA-NA),305,99.67,5.12 (4.85-5.38)
astrocytes 8,577.0,0.134,76.0,83,1,1.2,2.53 (NA-NA),82,98.8,3.26 (2.81-3.72)
oligodendrocyte progenitor cells 12,153.0,0.453,72.0,27,1,3.7,0.95 (NA-NA),26,96.3,5.08 (4.23-5.92)
oligodendrocytes 10,130.0,0.336,34.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,106.0,0.29,64.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA)
astrocytes 15,338.0,0.115,21.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,112.0,0.125,11.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,409.0,0.12,49.0,235,12,5.11,3.12 (2.17-4.07),223,94.89,4.04 (3.78-4.30)
astrocytes microglia 23,166.0,0.29,53.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25)
astrocytes 4,514.0,0.181,49.0,95,3,3.16,4.78 (4.78-4.78),92,96.84,3.31 (2.88-3.74)
oligodendrocytes 0,1186.0,0.177,91.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,958.0,0.193,98.0,290,0,0.0,NA,290,100.0,3.81 (3.58-4.04)
oligodendrocytes 3,854.0,0.137,87.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,804.0,0.209,93.0,84,4,4.76,1.13 (0.16-2.09),80,95.24,2.79 (2.45-3.13)
