tipo_celular,module_size,MRRF_MM,MRRF_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184.0,0.294,88.0,21,8,38.1,1.12 (0.45-1.80),13,61.9,3.08 (2.45-3.72)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.127,70.0,136,4,2.94,1.54 (1.26-1.82),132,97.06,3.27 (2.99-3.54)
oligodendrocyte progenitor cells 7,4285.0,0.109,17.0,353,26,7.37,1.34 (1.02-1.66),327,92.63,4.14 (3.96-4.31)
GABA neurons expressing GLU receptors 22,487.0,0.114,12.0,73,3,4.11,1.40 (1.32-1.48),70,95.89,2.82 (2.43-3.22)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,145.0,0.112,19.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.165,34.0,120,0,0.0,NA,120,100.0,4.61 (4.29-4.92)
oligodendrocytes 20,298.0,0.063,22.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,2090.0,0.146,45.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,727.0,0.036,3.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.095,69.0,276,13,4.71,1.55 (1.22-1.87),263,95.29,3.67 (3.45-3.89)
oligodendrocytes 10,2107.0,0.177,61.0,358,22,6.15,1.24 (0.93-1.55),336,93.85,4.10 (3.92-4.28)
connective tissue cells 21,106.0,0.386,92.0,9,1,11.11,0.26 (NA-NA),8,88.89,4.64 (2.19-7.09)
astrocytes 15,1768.0,0.102,65.0,105,16,15.24,1.49 (1.17-1.80),89,84.76,3.55 (3.20-3.90)
oligodendrocytes 16,155.0,0.317,91.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.305,52.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41)
astrocytes 4,1807.0,0.166,86.0,104,14,13.46,1.36 (0.99-1.73),90,86.54,3.12 (2.83-3.41)
oligodendrocytes 0,2078.0,0.103,28.0,238,4,1.68,1.85 (0.16-3.54),234,98.32,3.66 (3.44-3.88)
microglia 1,813.0,0.09,17.0,79,1,1.27,2.76 (NA-NA),78,98.73,3.11 (2.70-3.51)
oligodendrocytes 3,854.0,0.052,8.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,1630.0,0.127,23.0,154,5,3.25,4.35 (2.17-6.54),149,96.75,3.20 (2.94-3.46)
