tipo_celular,module_size,ZMPSTE24_MM,ZMPSTE24_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.091,15.0,136,5,3.68,1.93 (1.13-2.73),131,96.32,3.26 (2.99-3.54)
oligodendrocyte progenitor cells 7,4285.0,0.114,21.0,353,16,4.53,1.41 (0.93-1.89),337,95.47,4.04 (3.86-4.22)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,140.0,0.053,0.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.087,32.0,275,19,6.91,1.56 (0.95-2.16),256,93.09,4.16 (3.90-4.41)
oligodendrocytes 20,938.0,0.054,14.0,169,12,7.1,2.37 (1.28-3.46),157,92.9,3.55 (3.33-3.77)
GABA like neurons 14,3052.0,0.139,50.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,260.0,0.034,4.0,4,1,25.0,1.95 (NA-NA),3,75.0,2.02 (-1.43-5.47)
oligodendrocyte progenitor cells 12,3303.0,0.048,13.0,276,14,5.07,1.59 (1.11-2.08),262,94.93,3.68 (3.46-3.90)
oligodendrocytes 10,735.0,0.062,22.0,277,1,0.36,4.95 (NA-NA),276,99.64,3.89 (3.65-4.13)
connective tissue cells 21,84.0,0.256,51.0,4,0,0.0,NA,4,100.0,4.34 (4.07-4.60)
astrocytes 15,443.0,0.199,81.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55)
oligodendrocytes 16,113.0,0.272,85.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75)
da neurons 6,518.0,0.076,12.0,122,14,11.48,1.63 (0.90-2.36),108,88.52,4.27 (3.88-4.66)
astrocytes microglia 23,118.0,0.254,10.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.127,20.0,104,13,12.5,1.40 (0.94-1.85),91,87.5,3.09 (2.80-3.38)
oligodendrocytes 0,2078.0,0.095,14.0,238,3,1.26,1.98 (0.20-3.77),235,98.74,3.66 (3.44-3.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,854.0,0.036,2.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,1630.0,0.176,97.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
