tipo_celular,module_size,MYRIP_MM,MYRIP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.217,82.0,32,1,3.12,NA,31,96.88,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,666.0,0.163,48.0,127,17,13.39,3.08 (2.17-4.00),110,86.61,4.02 (3.67-4.36)
GABA neurons expressing GLU receptors 22,714.0,0.543,100.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00)
GLU like neurons 17,795.0,0.209,79.0,80,3,3.75,3.69 (2.46-4.93),77,96.25,5.79 (5.38-6.21)
da like neurons 11,191.0,0.47,89.0,93,5,5.38,3.56 (2.82-4.29),88,94.62,5.81 (5.41-6.21)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.53,99.0,120,7,5.83,3.31 (2.03-4.58),113,94.17,4.70 (4.38-5.02)
oligodendrocytes 20,938.0,0.043,9.0,169,11,6.51,2.50 (1.65-3.35),158,93.49,3.55 (3.33-3.77)
GABA like neurons 14,1300.0,0.204,50.0,306,23,7.52,2.79 (2.06-3.52),283,92.48,5.34 (5.08-5.60)
astrocytes 8,354.0,0.21,89.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,708.0,0.108,50.0,32,9,28.12,1.73 (0.69-2.76),23,71.88,3.96 (3.03-4.90)
oligodendrocytes 10,806.0,0.132,40.0,261,13,4.98,3.27 (2.40-4.13),248,95.02,4.42 (4.18-4.67)
connective tissue cells 21,183.0,0.648,99.0,32,1,3.12,0.87 (NA-NA),31,96.88,5.26 (4.67-5.86)
astrocytes 15,367.0,0.101,23.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,149.0,0.264,66.0,70,1,1.43,4.35 (NA-NA),69,98.57,5.68 (5.20-6.16)
da neurons 6,307.0,0.101,32.0,95,7,7.37,4.80 (3.75-5.84),88,92.63,4.85 (4.38-5.32)
astrocytes microglia 23,58.0,0.593,100.0,6,0,0.0,NA,6,100.0,5.75 (NA-NA)
astrocytes 4,161.0,0.107,9.0,45,2,4.44,7.00 (NA-NA),43,95.56,5.22 (4.59-5.86)
oligodendrocytes 0,117.0,0.246,94.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,681.0,0.152,87.0,87,6,6.9,1.12 (0.60-1.64),81,93.1,2.70 (2.43-2.98)
oligodendrocytes 2,921.0,0.183,96.0,200,5,2.5,3.24 (2.34-4.14),195,97.5,3.63 (3.36-3.91)
