tipo_celular,module_size,TLN1_MM,TLN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.089,6.0,102,6,5.88,1.52 (0.67-2.37),96,94.12,3.63 (3.26-4.00)
T cells 18,506.0,0.273,73.0,225,22,9.78,3.17 (2.46-3.88),203,90.22,3.65 (3.39-3.92)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.128,39.0,353,12,3.4,1.46 (0.81-2.12),341,96.6,4.00 (3.82-4.18)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.191,45.0,302,10,3.31,2.82 (1.72-3.92),292,96.69,4.02 (3.80-4.25)
oligodendrocytes 20,358.0,0.141,44.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,2402.0,0.144,23.0,455,18,3.96,2.27 (1.21-3.33),437,96.04,4.41 (4.23-4.60)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,254.0,0.028,3.0,37,4,10.81,3.76 (1.36-6.16),33,89.19,4.58 (3.98-5.18)
oligodendrocytes 10,483.0,0.243,77.0,129,8,6.2,4.26 (3.61-4.91),121,93.8,3.38 (2.98-3.79)
connective tissue cells 21,142.0,0.256,20.0,55,6,10.91,2.28 (0.21-4.35),49,89.09,3.61 (2.70-4.52)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,156.0,0.212,60.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,108.0,0.278,23.0,2,0,0.0,NA,2,100.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.107,36.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87)
microglia 1,406.0,0.102,17.0,278,2,0.72,4.04 (1.84-6.24),276,99.28,4.36 (4.09-4.64)
oligodendrocytes 3,743.0,0.108,77.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,528.0,0.169,28.0,175,18,10.29,3.72 (2.98-4.46),157,89.71,4.43 (4.06-4.81)
