tipo_celular,module_size,ALKBH5_MM,ALKBH5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.234,67.0,17,1,5.88,3.05 (NA-NA),16,94.12,1.83 (1.19-2.47)
T cells 18,477,0.147,41.0,43,1,2.33,NA,42,97.67,2.03 (1.52-2.53)
astrocytes 5,932,0.087,16.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285,0.106,13.0,353,99,28.05,3.24 (2.88-3.59),254,71.95,4.25 (4.06-4.45)
GABA neurons expressing GLU receptors 22,848,0.199,45.0,262,19,7.25,2.82 (2.08-3.56),243,92.75,4.30 (4.05-4.55)
GLU like neurons 17,685,0.09,22.0,135,39,28.89,2.54 (2.12-2.95),96,71.11,3.53 (3.14-3.92)
da like neurons 11,1220,0.136,32.0,410,18,4.39,3.24 (2.60-3.89),392,95.61,4.31 (4.12-4.51)
GABA neurons expressing GABA receptors 13,238,0.105,13.0,36,1,2.78,5.10 (NA-NA),35,97.22,3.84 (3.30-4.37)
endothelial cells 9,916,0.067,4.0,302,4,1.32,2.16 (0.43-3.89),298,98.68,4.01 (3.79-4.24)
oligodendrocytes 20,279,0.026,2.0,16,1,6.25,3.48 (NA-NA),15,93.75,2.30 (1.52-3.09)
GABA like neurons 14,3052,0.097,16.0,125,7,5.6,5.11 (4.47-5.75),118,94.4,3.22 (2.89-3.55)
astrocytes 8,1266,0.08,48.0,66,24,36.36,2.08 (1.60-2.56),42,63.64,4.06 (3.60-4.52)
oligodendrocyte progenitor cells 12,708,0.105,46.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08)
oligodendrocytes 10,735,0.14,72.0,277,1,0.36,4.47 (NA-NA),276,99.64,3.89 (3.65-4.13)
connective tissue cells 21,93,0.342,83.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
astrocytes 15,1401,0.044,12.0,96,8,8.33,2.54 (1.97-3.11),88,91.67,3.73 (3.25-4.22)
oligodendrocytes 16,92,0.19,35.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553,0.107,33.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61)
astrocytes microglia 23,125,0.264,17.0,3,0,0.0,NA,3,100.0,NA
astrocytes 4,1807,0.121,13.0,104,35,33.65,2.18 (1.78-2.58),69,66.35,3.22 (2.88-3.56)
oligodendrocytes 0,2078,0.126,74.0,238,42,17.65,4.37 (3.86-4.88),196,82.35,3.44 (3.21-3.68)
microglia 1,958,0.069,3.0,290,50,17.24,4.17 (3.67-4.67),240,82.76,3.72 (3.46-3.97)
oligodendrocytes 3,743,0.056,14.0,76,1,1.32,5.34 (NA-NA),75,98.68,3.13 (2.73-3.52)
oligodendrocytes 2,921,0.14,54.0,200,36,18.0,4.48 (3.96-4.99),164,82.0,3.40 (3.10-3.69)
