tipo_celular,module_size,AASDH_MM,AASDH_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.158,40.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.122,34.0,166,4,2.41,1.12 (0.15-2.09),162,97.59,3.46 (3.21-3.71)
oligodendrocyte progenitor cells 7,4285.0,0.135,49.0,353,4,1.13,1.12 (0.15-2.09),349,98.87,3.93 (3.75-4.11)
GABA neurons expressing GLU receptors 22,714.0,0.108,10.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,1316.0,0.105,33.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,153.0,0.135,23.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,403.0,0.042,11.0,18,3,16.67,1.43 (0.35-2.51),15,83.33,1.97 (1.18-2.76)
GABA like neurons 14,3052.0,0.162,69.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.185,85.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.074,43.0,276,4,1.45,1.43 (0.35-2.51),272,98.55,3.57 (3.35-3.79)
oligodendrocytes 10,2107.0,0.064,11.0,358,4,1.12,1.12 (0.15-2.09),354,98.88,3.90 (3.71-4.09)
connective tissue cells 21,118.0,0.139,0.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA)
astrocytes 15,338.0,0.158,56.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,86.0,0.278,96.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,109.0,0.34,72.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.162,70.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.132,84.0,238,2,0.84,1.37 (-0.91-3.64),236,99.16,3.66 (3.44-3.88)
microglia 1,1615.0,0.085,16.0,161,4,2.48,1.12 (0.15-2.09),157,97.52,3.34 (3.07-3.61)
oligodendrocytes 3,854.0,0.078,35.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,1630.0,0.145,56.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
