tipo_celular,module_size,GLDN_MM,GLDN_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235.0,0.3,67.0,140,5,3.57,2.19 (1.84-2.53),135,96.43,4.66 (4.38-4.94)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,676.0,0.211,44.0,110,3,2.73,0.90 (0.75-1.04),107,97.27,5.16 (4.73-5.58)
GABA like neurons 14,3052.0,0.085,11.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,236.0,0.477,47.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,287.0,0.432,85.0,105,3,2.86,0.90 (0.75-1.04),102,97.14,5.26 (4.85-5.68)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,253.0,0.221,33.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,261.0,0.319,99.0,42,3,7.14,0.90 (0.75-1.04),39,92.86,4.39 (3.73-5.04)
microglia 1,315.0,0.131,29.0,144,1,0.69,1.62 (NA-NA),143,99.31,4.48 (4.18-4.79)
oligodendrocytes 3,99.0,0.33,91.0,24,0,0.0,NA,24,100.0,6.50 (5.81-7.19)
oligodendrocytes 2,237.0,0.27,71.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
