tipo_celular,module_size,DYNC1H1_MM,DYNC1H1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.222,67.0,140,22,15.71,4.36 (3.42-5.30),118,84.29,4.53 (4.06-5.00)
T cells 18,282,0.239,77.0,241,13,5.39,5.03 (3.96-6.10),228,94.61,4.00 (3.74-4.26)
astrocytes 5,228,0.171,48.0,266,66,24.81,3.43 (2.94-3.91),200,75.19,4.34 (4.13-4.56)
oligodendrocyte progenitor cells 7,296,0.256,77.0,251,20,7.97,5.08 (4.47-5.68),231,92.03,3.99 (3.75-4.24)
GABA neurons expressing GLU receptors 22,848,0.272,70.0,262,39,14.89,3.05 (2.51-3.58),223,85.11,4.35 (4.09-4.62)
GLU like neurons 17,1316,0.192,91.0,101,5,4.95,3.28 (2.52-4.03),96,95.05,3.04 (2.68-3.41)
da like neurons 11,1220,0.208,59.0,410,39,9.51,3.64 (2.93-4.35),371,90.49,4.30 (4.11-4.50)
GABA neurons expressing GABA receptors 13,357,0.446,99.0,237,6,2.53,4.67 (2.30-7.04),231,97.47,4.40 (4.17-4.64)
endothelial cells 9,338,0.219,76.0,191,12,6.28,4.22 (3.24-5.20),179,93.72,3.86 (3.63-4.09)
oligodendrocytes 20,250,0.069,14.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2402,0.165,30.0,455,53,11.65,2.91 (2.31-3.51),402,88.35,4.53 (4.35-4.72)
astrocytes 8,520,0.274,84.0,288,56,19.44,3.94 (3.43-4.46),232,80.56,4.22 (4.01-4.44)
oligodendrocyte progenitor cells 12,3303,0.149,99.0,276,40,14.49,2.68 (2.21-3.14),236,85.51,3.72 (3.48-3.96)
oligodendrocytes 10,806,0.444,94.0,261,36,13.79,4.20 (3.62-4.78),225,86.21,4.39 (4.13-4.66)
connective tissue cells 21,101,0.336,57.0,116,29,25.0,3.85 (3.18-4.52),87,75.0,4.89 (4.40-5.39)
astrocytes 15,1401,0.115,74.0,96,20,20.83,3.64 (2.97-4.31),76,79.17,3.60 (3.04-4.16)
oligodendrocytes 16,313,0.398,86.0,291,41,14.09,3.99 (3.46-4.53),250,85.91,4.38 (4.14-4.63)
da neurons 6,300,0.149,46.0,159,6,3.77,5.29 (3.89-6.68),153,96.23,4.34 (4.03-4.66)
astrocytes microglia 23,141,0.245,52.0,30,4,13.33,1.82 (1.65-1.99),26,86.67,6.27 (5.57-6.97)
astrocytes 4,157,0.172,46.0,178,45,25.28,3.40 (2.87-3.94),133,74.72,4.44 (4.15-4.74)
oligodendrocytes 0,116,0.168,52.0,169,7,4.14,5.42 (4.07-6.76),162,95.86,4.21 (3.91-4.51)
microglia 1,214,0.237,68.0,227,34,14.98,4.29 (3.74-4.83),193,85.02,4.06 (3.80-4.32)
oligodendrocytes 3,457,0.192,79.0,345,51,14.78,3.87 (3.36-4.39),294,85.22,4.35 (4.12-4.57)
oligodendrocytes 2,528,0.264,77.0,175,30,17.14,3.64 (2.98-4.31),145,82.86,4.52 (4.13-4.92)
