tipo_celular,module_size,TMTC1_MM,TMTC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,118.0,0.229,59.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,823.0,0.295,94.0,23,4,17.39,2.59 (1.55-3.63),19,82.61,2.34 (1.44-3.24)
GLU like neurons 17,380.0,0.142,29.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,265.0,0.371,97.0,4,1,25.0,2.68 (NA-NA),3,75.0,1.50 (-0.93-3.93)
GABA neurons expressing GABA receptors 13,266.0,0.186,64.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09)
endothelial cells 9,303.0,0.29,77.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.209,52.0,306,4,1.31,2.31 (0.92-3.70),302,98.69,5.15 (4.88-5.41)
astrocytes 8,279.0,0.318,72.0,78,0,0.0,NA,78,100.0,4.31 (3.90-4.73)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,183.0,0.121,2.0,32,0,0.0,NA,32,100.0,5.12 (4.48-5.76)
astrocytes 15,208.0,0.131,49.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.179,77.0,124,2,1.61,2.84 (2.53-3.15),122,98.39,4.21 (3.81-4.61)
astrocytes microglia 23,253.0,0.213,27.0,47,1,2.13,0.94 (NA-NA),46,97.87,2.89 (2.57-3.22)
astrocytes 4,171.0,0.131,19.0,22,0,0.0,NA,22,100.0,4.54 (3.62-5.46)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
