tipo_celular,module_size,SLC25A32_MM,SLC25A32_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.178,65.0,71,2,2.82,2.04 (-1.56-5.63),69,97.18,2.64 (2.23-3.06)
T cells 18,477.0,0.046,1.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1656.0,0.117,51.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.174,95.0,353,14,3.97,1.55 (0.68-2.42),339,96.03,4.02 (3.84-4.19)
GABA neurons expressing GLU receptors 22,823.0,0.127,19.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,197.0,0.143,29.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.066,5.0,297,1,0.34,6.08 (NA-NA),296,99.66,3.66 (3.46-3.87)
oligodendrocytes 20,348.0,0.234,81.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,3052.0,0.078,8.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.045,7.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.044,10.0,276,7,2.54,2.11 (1.44-2.78),269,97.46,3.59 (3.37-3.81)
oligodendrocytes 10,2107.0,0.117,37.0,358,10,2.79,1.41 (0.19-2.62),348,97.21,3.96 (3.77-4.14)
connective tissue cells 21,136.0,0.346,73.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,418.0,0.037,17.0,54,5,9.26,2.42 (1.65-3.19),49,90.74,3.83 (3.37-4.29)
oligodendrocytes 16,71.0,0.162,35.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,118.0,0.379,87.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.144,48.0,104,3,2.88,0.52 (0.18-0.87),101,97.12,2.94 (2.66-3.21)
oligodendrocytes 0,2078.0,0.136,90.0,238,3,1.26,2.76 (-0.65-6.17),235,98.74,3.65 (3.43-3.87)
microglia 1,813.0,0.135,69.0,79,1,1.27,1.74 (NA-NA),78,98.73,3.12 (2.71-3.53)
oligodendrocytes 3,681.0,0.124,74.0,87,3,3.45,0.63 (0.44-0.82),84,96.55,2.66 (2.39-2.93)
oligodendrocytes 2,921.0,0.157,81.0,200,3,1.5,2.54 (1.22-3.86),197,98.5,3.64 (3.37-3.91)
