tipo_celular,module_size,PSMA3_MM,PSMA3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.181,68.0,71,3,4.23,1.51 (0.13-2.89),68,95.77,2.68 (2.26-3.10)
T cells 18,477.0,0.168,54.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1656.0,0.164,99.0,136,2,1.47,2.73 (1.22-4.24),134,98.53,3.22 (2.94-3.49)
oligodendrocyte progenitor cells 7,4285.0,0.149,71.0,353,37,10.48,2.15 (1.71-2.58),316,89.52,4.16 (3.97-4.34)
GABA neurons expressing GLU receptors 22,487.0,0.199,44.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,168.0,0.088,22.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.058,6.0,275,42,15.27,2.21 (1.77-2.65),233,84.73,4.34 (4.08-4.61)
oligodendrocytes 20,330.0,0.307,87.0,36,9,25.0,2.21 (1.71-2.72),27,75.0,1.81 (1.38-2.25)
GABA like neurons 14,2402.0,0.148,24.0,455,44,9.67,2.60 (2.12-3.08),411,90.33,4.57 (4.38-4.76)
astrocytes 8,603.0,0.045,16.0,89,3,3.37,0.92 (0.81-1.03),86,96.63,2.85 (2.50-3.20)
oligodendrocyte progenitor cells 12,1049.0,0.083,44.0,235,10,4.26,3.92 (3.58-4.25),225,95.74,3.82 (3.58-4.06)
oligodendrocytes 10,2107.0,0.089,23.0,358,40,11.17,2.05 (1.63-2.47),318,88.83,4.17 (3.99-4.36)
connective tissue cells 21,118.0,0.321,59.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA)
astrocytes 15,1768.0,0.113,74.0,105,23,21.9,2.46 (1.92-3.01),82,78.1,3.45 (3.05-3.84)
oligodendrocytes 16,108.0,0.114,7.0,5,0,0.0,NA,5,100.0,3.97 (2.94-5.00)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,126.0,0.339,62.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA)
astrocytes 4,1807.0,0.17,90.0,104,22,21.15,2.09 (1.58-2.59),82,78.85,3.09 (2.78-3.41)
oligodendrocytes 0,86.0,0.122,25.0,2,0,0.0,NA,2,100.0,NA
microglia 1,1615.0,0.099,34.0,161,32,19.88,1.94 (1.48-2.40),129,80.12,3.68 (3.40-3.96)
oligodendrocytes 3,743.0,0.088,59.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.152,70.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
