tipo_celular,module_size,VOPP1_MM,VOPP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500,0.115,18.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58)
T cells 18,624,0.209,86.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,499,0.102,9.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,666,0.146,33.0,127,1,0.79,3.18 (NA-NA),126,99.21,3.84 (3.50-4.18)
GABA neurons expressing GLU receptors 22,203,0.219,33.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,489,0.146,55.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,109,0.286,71.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
GABA neurons expressing GABA receptors 13,200,0.116,18.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76)
endothelial cells 9,658,0.117,18.0,120,0,0.0,NA,120,100.0,4.61 (4.29-4.92)
oligodendrocytes 20,322,0.179,72.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2090,0.131,33.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,283,0.194,78.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708,0.102,45.0,25,0,0.0,NA,25,100.0,2.87 (1.90-3.84)
oligodendrocytes 10,2107,0.141,48.0,358,10,2.79,0.99 (0.32-1.67),348,97.21,3.96 (3.77-4.15)
connective tissue cells 21,106,0.198,6.0,9,1,11.11,0.26 (NA-NA),8,88.89,4.64 (2.19-7.09)
astrocytes 15,1768,0.041,7.0,105,4,3.81,1.62 (0.89-2.34),101,96.19,3.28 (2.94-3.62)
oligodendrocytes 16,108,0.231,72.0,5,0,0.0,NA,5,100.0,3.97 (2.94-5.00)
da neurons 6,448,0.119,69.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,229,0.288,49.0,99,0,0.0,NA,99,100.0,4.30 (3.96-4.63)
astrocytes 4,721,0.123,9.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,116,0.052,1.0,169,0,0.0,NA,169,100.0,4.28 (3.98-4.57)
microglia 1,813,0.109,42.0,79,4,5.06,2.59 (1.88-3.29),75,94.94,3.13 (2.71-3.55)
oligodendrocytes 3,242,0.164,65.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,347,0.209,57.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
