tipo_celular,module_size,PHF8_MM,PHF8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.078,5.0,71,10,14.08,2.66 (1.64-3.68),61,85.92,2.61 (2.16-3.07)
T cells 18,477.0,0.21,78.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1656.0,0.114,47.0,136,5,3.68,1.58 (1.21-1.95),131,96.32,3.26 (2.99-3.54)
oligodendrocyte progenitor cells 7,666.0,0.209,76.0,127,6,4.72,1.66 (0.86-2.46),121,95.28,4.00 (3.66-4.33)
GABA neurons expressing GLU receptors 22,714.0,0.208,64.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,209.0,0.107,14.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.067,6.0,297,20,6.73,4.06 (3.63-4.48),277,93.27,3.65 (3.43-3.86)
oligodendrocytes 20,403.0,0.216,82.0,18,9,50.0,1.14 (0.52-1.76),9,50.0,2.61 (1.59-3.64)
GABA like neurons 14,3052.0,0.177,81.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,577.0,0.053,21.0,83,5,6.02,1.79 (1.12-2.46),78,93.98,3.34 (2.88-3.81)
oligodendrocyte progenitor cells 12,3303.0,0.085,58.0,276,57,20.65,2.36 (2.08-2.64),219,79.35,3.93 (3.69-4.18)
oligodendrocytes 10,2107.0,0.068,12.0,358,87,24.3,2.48 (2.21-2.74),271,75.7,4.47 (4.28-4.67)
connective tissue cells 21,111.0,0.416,95.0,10,1,10.0,NA,9,90.0,2.44 (1.89-3.00)
astrocytes 15,261.0,0.16,56.0,8,2,25.0,0.32 (0.20-0.45),6,75.0,5.02 (3.40-6.64)
oligodendrocytes 16,71.0,0.217,76.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,118.0,0.271,22.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.142,46.0,104,27,25.96,2.10 (1.64-2.57),77,74.04,3.16 (2.84-3.48)
oligodendrocytes 0,2078.0,0.128,79.0,238,26,10.92,3.18 (2.62-3.73),212,89.08,3.70 (3.46-3.94)
microglia 1,958.0,0.135,81.0,290,14,4.83,2.27 (1.58-2.96),276,95.17,3.91 (3.68-4.15)
oligodendrocytes 3,1003.0,0.081,34.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65)
oligodendrocytes 2,1630.0,0.151,68.0,154,3,1.95,3.08 (1.74-4.42),151,98.05,3.25 (2.98-3.52)
