tipo_celular,module_size,ALMS1_MM,ALMS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.119,24.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45)
T cells 18,388.0,0.105,21.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,1141.0,0.145,69.0,166,17,10.24,2.69 (1.82-3.55),149,89.76,3.48 (3.22-3.74)
oligodendrocyte progenitor cells 7,4285.0,0.163,88.0,353,31,8.78,2.34 (1.80-2.88),322,91.22,4.07 (3.89-4.26)
GABA neurons expressing GLU receptors 22,192.0,0.143,60.0,55,0,0.0,NA,55,100.0,4.03 (3.61-4.44)
GLU like neurons 17,1247.0,0.088,18.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,102.0,0.289,63.0,8,1,12.5,0.95 (NA-NA),7,87.5,3.07 (2.93-3.20)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.149,66.0,297,7,2.36,3.30 (3.01-3.59),290,97.64,3.68 (3.47-3.89)
oligodendrocytes 20,233.0,0.039,6.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,2090.0,0.175,64.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,727.0,0.049,9.0,29,1,3.45,3.81 (NA-NA),28,96.55,2.31 (1.81-2.81)
oligodendrocyte progenitor cells 12,3303.0,0.127,93.0,276,26,9.42,2.66 (2.07-3.24),250,90.58,3.66 (3.43-3.89)
oligodendrocytes 10,2107.0,0.136,46.0,358,36,10.06,2.13 (1.66-2.61),322,89.94,4.11 (3.92-4.30)
connective tissue cells 21,183.0,0.306,61.0,32,1,3.12,0.87 (NA-NA),31,96.88,5.26 (4.67-5.86)
astrocytes 15,1768.0,0.068,31.0,105,8,7.62,1.56 (0.89-2.23),97,92.38,3.36 (3.02-3.70)
oligodendrocytes 16,61.0,0.125,10.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.217,6.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41)
astrocytes 4,752.0,0.139,29.0,96,11,11.46,3.30 (2.50-4.10),85,88.54,3.29 (2.93-3.65)
oligodendrocytes 0,1186.0,0.17,86.0,300,10,3.33,3.75 (2.87-4.62),290,96.67,3.79 (3.58-4.01)
microglia 1,1615.0,0.121,65.0,161,19,11.8,2.16 (1.37-2.95),142,88.2,3.45 (3.17-3.72)
oligodendrocytes 3,357.0,0.097,52.0,127,1,0.79,5.19 (NA-NA),126,99.21,3.10 (2.77-3.43)
oligodendrocytes 2,804.0,0.148,47.0,84,12,14.29,2.41 (1.43-3.39),72,85.71,2.74 (2.38-3.09)
