tipo_celular,module_size,CEP126_MM,CEP126_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.176,59.0,32,5,15.62,4.56 (4.33-4.79),27,84.38,5.17 (4.54-5.80)
oligodendrocyte progenitor cells 7,4285.0,0.127,36.0,353,20,5.67,1.85 (1.24-2.46),333,94.33,4.03 (3.85-4.22)
GABA neurons expressing GLU receptors 22,823.0,0.119,15.0,23,2,8.7,NA,21,91.3,2.40 (1.67-3.12)
GLU like neurons 17,300.0,0.117,6.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93)
da like neurons 11,191.0,0.063,0.0,93,4,4.3,4.23 (4.11-4.34),89,95.7,5.74 (5.32-6.15)
GABA neurons expressing GABA receptors 13,101.0,0.17,60.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,275.0,0.216,58.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,2090.0,0.064,3.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.051,15.0,66,16,24.24,2.29 (1.40-3.18),50,75.76,3.53 (3.09-3.97)
oligodendrocyte progenitor cells 12,3303.0,0.137,96.0,276,10,3.62,2.47 (1.56-3.38),266,96.38,3.58 (3.36-3.81)
oligodendrocytes 10,806.0,0.205,64.0,261,9,3.45,4.22 (3.83-4.60),252,96.55,4.37 (4.12-4.62)
connective tissue cells 21,88.0,0.236,23.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,377.0,0.207,83.0,14,7,50.0,2.96 (0.94-4.98),7,50.0,1.31 (0.06-2.57)
oligodendrocytes 16,90.0,0.219,54.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09)
da neurons 6,553.0,0.147,64.0,124,2,1.61,2.29 (-1.40-5.98),122,98.39,4.23 (3.83-4.62)
astrocytes microglia 23,51.0,0.401,90.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752.0,0.123,12.0,96,9,9.38,3.42 (2.38-4.46),87,90.62,3.28 (2.93-3.63)
oligodendrocytes 0,2078.0,0.114,49.0,238,3,1.26,1.22 (-0.77-3.20),235,98.74,3.66 (3.44-3.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,357.0,0.086,43.0,127,1,0.79,6.67 (NA-NA),126,99.21,3.08 (2.76-3.41)
oligodendrocytes 2,1630.0,0.131,29.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
