tipo_celular,module_size,CAMLG_MM,CAMLG_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.146,36.0,164,12,7.32,4.54 (3.68-5.40),152,92.68,4.04 (3.69-4.39)
GABA neurons expressing GLU receptors 22,203.0,0.268,52.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,489.0,0.063,5.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,1220.0,0.221,63.0,410,51,12.44,3.98 (3.57-4.38),359,87.56,4.29 (4.09-4.50)
GABA neurons expressing GABA receptors 13,265.0,0.06,1.0,78,8,10.26,3.65 (2.67-4.63),70,89.74,4.47 (4.02-4.92)
endothelial cells 9,338.0,0.111,41.0,191,5,2.62,3.73 (2.40-5.05),186,97.38,3.89 (3.66-4.12)
oligodendrocytes 20,253.0,0.122,30.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2402.0,0.338,72.0,455,66,14.51,3.83 (3.32-4.35),389,85.49,4.46 (4.26-4.65)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.095,52.0,235,17,7.23,4.90 (3.98-5.81),218,92.77,3.74 (3.51-3.98)
oligodendrocytes 10,735.0,0.268,97.0,277,4,1.44,5.48 (5.06-5.91),273,98.56,3.86 (3.62-4.11)
connective tissue cells 21,110.0,0.337,80.0,13,8,61.54,3.36 (2.60-4.11),5,38.46,2.73 (0.85-4.61)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,74.0,0.143,24.0,1,1,100.0,NA,0,0.0,NA
da neurons 6,409.0,0.096,29.0,235,9,3.83,3.97 (2.35-5.60),226,96.17,3.97 (3.72-4.23)
astrocytes microglia 23,45.0,0.441,87.0,8,0,0.0,NA,8,100.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.085,5.0,252,54,21.43,3.74 (3.09-4.39),198,78.57,4.20 (3.95-4.46)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.104,43.0,345,43,12.46,4.02 (3.60-4.45),302,87.54,4.32 (4.09-4.56)
oligodendrocytes 2,1630.0,0.149,65.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
