tipo_celular,module_size,PRPF39_MM,PRPF39_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.179,65.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,610.0,0.101,15.0,98,20,20.41,1.31 (0.92-1.69),78,79.59,3.65 (3.36-3.94)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.162,87.0,353,42,11.9,2.12 (1.67-2.57),311,88.1,4.21 (4.04-4.39)
GABA neurons expressing GLU receptors 22,567.0,0.246,71.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,637.0,0.081,12.0,91,10,10.99,1.06 (0.48-1.64),81,89.01,5.15 (4.70-5.59)
da like neurons 11,97.0,0.062,7.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.111,37.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,403.0,0.164,65.0,18,9,50.0,0.98 (0.40-1.55),9,50.0,2.78 (1.86-3.70)
GABA like neurons 14,3052.0,0.085,10.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.056,22.0,276,23,8.33,1.75 (1.42-2.07),253,91.67,3.76 (3.54-3.98)
oligodendrocytes 10,2107.0,0.084,20.0,358,37,10.34,1.78 (1.43-2.12),321,89.66,4.20 (4.02-4.38)
connective tissue cells 21,136.0,0.387,89.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,81.0,0.229,79.0,3,0,0.0,NA,3,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,45.0,0.445,89.0,8,0,0.0,NA,8,100.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.12,62.0,238,4,1.68,1.70 (0.57-2.84),234,98.32,3.68 (3.45-3.90)
microglia 1,958.0,0.092,20.0,290,15,5.17,2.98 (2.65-3.32),275,94.83,3.87 (3.63-4.11)
oligodendrocytes 3,854.0,0.067,22.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19)
oligodendrocytes 2,921.0,0.124,29.0,200,15,7.5,3.04 (2.72-3.37),185,92.5,3.68 (3.39-3.97)
