tipo_celular,module_size,BCCIP_MM,BCCIP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.095,20.0,136,4,2.94,2.23 (0.93-3.53),132,97.06,3.24 (2.97-3.52)
oligodendrocyte progenitor cells 7,4285.0,0.14,58.0,353,52,14.73,2.19 (1.83-2.56),301,85.27,4.27 (4.09-4.45)
GABA neurons expressing GLU receptors 22,823.0,0.139,25.0,23,5,21.74,2.38 (1.03-3.73),18,78.26,2.40 (1.55-3.24)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,253.0,0.067,16.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,3052.0,0.135,47.0,125,7,5.6,3.74 (3.17-4.32),118,94.4,3.33 (2.99-3.67)
astrocytes 8,1266.0,0.035,4.0,66,31,46.97,2.58 (1.97-3.19),35,53.03,3.90 (3.43-4.36)
oligodendrocyte progenitor cells 12,708.0,0.06,23.0,32,11,34.38,2.32 (0.80-3.85),21,65.62,3.84 (3.03-4.65)
oligodendrocytes 10,483.0,0.081,31.0,129,2,1.55,5.02 (2.95-7.10),127,98.45,3.40 (3.00-3.79)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,268.0,0.1,58.0,10,3,30.0,2.54 (1.92-3.15),7,70.0,4.38 (1.80-6.97)
oligodendrocytes 16,66.0,0.234,59.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,86.0,0.291,35.0,1,1,100.0,1.71 (NA-NA),0,0.0,NA
astrocytes 4,1807.0,0.133,29.0,104,23,22.12,1.84 (1.42-2.25),81,77.88,3.18 (2.87-3.50)
oligodendrocytes 0,2078.0,0.105,30.0,238,9,3.78,2.57 (1.77-3.36),229,96.22,3.68 (3.46-3.91)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,854.0,0.039,2.0,76,6,7.89,2.19 (1.05-3.34),70,92.11,2.83 (2.49-3.18)
oligodendrocytes 2,1630.0,0.157,80.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
