tipo_celular,module_size,PUS7L_MM,PUS7L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178.0,0.31,86.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,610.0,0.141,41.0,98,15,15.31,1.07 (0.67-1.46),83,84.69,3.54 (3.25-3.83)
astrocytes 5,1656.0,0.162,99.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.17,94.0,353,18,5.1,1.23 (0.81-1.65),335,94.9,4.08 (3.90-4.25)
GABA neurons expressing GLU receptors 22,714.0,0.115,12.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,380.0,0.177,54.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,140.0,0.078,5.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,348.0,0.015,1.0,33,1,3.03,3.00 (NA-NA),32,96.97,2.72 (2.22-3.23)
GABA like neurons 14,3052.0,0.152,61.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,260.0,0.091,28.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA)
oligodendrocyte progenitor cells 12,3303.0,0.139,97.0,276,12,4.35,1.65 (1.17-2.13),264,95.65,3.66 (3.44-3.88)
oligodendrocytes 10,2107.0,0.113,35.0,358,18,5.03,1.23 (0.81-1.65),340,94.97,4.05 (3.87-4.23)
connective tissue cells 21,111.0,0.365,83.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00)
astrocytes 15,367.0,0.31,100.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,112.0,0.151,28.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,94.0,0.395,80.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.145,52.0,104,13,12.5,1.35 (0.90-1.79),91,87.5,3.10 (2.81-3.39)
oligodendrocytes 0,2078.0,0.15,99.0,238,4,1.68,1.79 (0.57-3.01),234,98.32,3.67 (3.45-3.89)
microglia 1,1615.0,0.091,23.0,161,18,11.18,1.23 (0.81-1.65),143,88.82,3.60 (3.34-3.85)
oligodendrocytes 3,854.0,0.1,61.0,76,2,2.63,1.60 (-1.13-4.34),74,97.37,2.81 (2.48-3.14)
oligodendrocytes 2,921.0,0.136,47.0,200,1,0.5,3.05 (NA-NA),199,99.5,3.63 (3.36-3.89)
