tipo_celular,module_size,TTYH2_MM,TTYH2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.172,47.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,165.0,0.083,2.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01)
oligodendrocyte progenitor cells 7,229.0,0.226,66.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.388,78.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,676.0,0.248,47.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,771.0,0.24,72.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708.0,0.372,92.0,25,0,0.0,NA,25,100.0,2.87 (1.90-3.84)
oligodendrocytes 10,236.0,0.682,95.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,443.0,0.128,34.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55)
oligodendrocytes 16,287.0,0.462,94.0,105,2,1.9,2.53 (2.34-2.73),103,98.1,5.15 (4.70-5.60)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,54.0,0.313,42.0,29,0,0.0,NA,29,100.0,6.71 (6.06-7.37)
astrocytes 4,721.0,0.123,9.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,261.0,0.238,86.0,42,0,0.0,NA,42,100.0,4.06 (3.37-4.75)
microglia 1,480.0,0.155,33.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,127.0,0.308,67.0,45,2,4.44,2.53 (2.34-2.73),43,95.56,4.46 (3.57-5.36)
oligodendrocytes 2,348.0,0.142,20.0,114,2,1.75,2.53 (2.34-2.73),112,98.25,5.18 (4.77-5.59)
