tipo_celular,module_size,CRLS1_MM,CRLS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181.0,0.252,75.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.166,99.0,136,2,1.47,1.32 (NA-NA),134,98.53,3.22 (2.95-3.50)
oligodendrocyte progenitor cells 7,4285.0,0.125,33.0,353,23,6.52,2.41 (1.54-3.28),330,93.48,4.02 (3.84-4.20)
GABA neurons expressing GLU receptors 22,400.0,0.225,66.0,24,12,50.0,1.30 (0.82-1.79),12,50.0,3.01 (2.42-3.59)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,408.0,0.06,3.0,25,1,4.0,0.26 (NA-NA),24,96.0,4.84 (3.54-6.14)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.084,16.0,297,2,0.67,3.04 (2.03-4.05),295,99.33,3.68 (3.47-3.88)
oligodendrocytes 20,676.0,0.111,35.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44)
GABA like neurons 14,3052.0,0.129,41.0,125,5,4.0,4.88 (3.82-5.95),120,96.0,3.27 (2.94-3.60)
astrocytes 8,603.0,0.042,12.0,89,5,5.62,1.56 (0.90-2.23),84,94.38,2.86 (2.49-3.23)
oligodendrocyte progenitor cells 12,3303.0,0.049,14.0,276,16,5.8,3.63 (2.71-4.55),260,94.2,3.53 (3.31-3.76)
oligodendrocytes 10,2107.0,0.125,41.0,358,15,4.19,1.65 (0.80-2.49),343,95.81,3.99 (3.81-4.18)
connective tissue cells 21,118.0,0.305,52.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA)
astrocytes 15,1768.0,0.126,81.0,105,8,7.62,1.51 (0.91-2.10),97,92.38,3.37 (3.02-3.71)
oligodendrocytes 16,81.0,0.21,52.0,11,0,0.0,NA,11,100.0,1.43 (0.65-2.21)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,125.0,0.348,69.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77)
astrocytes 4,1807.0,0.142,45.0,104,8,7.69,1.29 (0.58-2.00),96,92.31,2.99 (2.70-3.27)
oligodendrocytes 0,2078.0,0.107,34.0,238,4,1.68,2.24 (0.84-3.64),234,98.32,3.66 (3.44-3.89)
microglia 1,813.0,0.173,87.0,79,1,1.27,1.74 (NA-NA),78,98.73,3.12 (2.71-3.53)
oligodendrocytes 3,854.0,0.066,20.0,76,2,2.63,1.99 (-1.51-5.49),74,97.37,2.80 (2.47-3.13)
oligodendrocytes 2,1630.0,0.146,58.0,154,2,1.3,1.97 (1.67-2.26),152,98.7,3.26 (3.00-3.53)
