tipo_celular,module_size,ZNF430_MM,ZNF430_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235.0,0.07,4.0,140,7,5.0,3.92 (2.89-4.94),133,95.0,4.60 (4.30-4.89)
T cells 18,282.0,0.137,21.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,1656.0,0.153,96.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57)
oligodendrocyte progenitor cells 7,4285.0,0.159,84.0,353,26,7.37,1.70 (1.45-1.94),327,92.63,4.12 (3.94-4.30)
GABA neurons expressing GLU receptors 22,823.0,0.146,28.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23)
GLU like neurons 17,1316.0,0.146,69.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.083,15.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,938.0,0.197,80.0,169,4,2.37,0.69 (0.05-1.34),165,97.63,3.54 (3.33-3.75)
GABA like neurons 14,2402.0,0.107,11.0,455,11,2.42,1.83 (0.40-3.25),444,97.58,4.41 (4.23-4.59)
astrocytes 8,603.0,0.046,18.0,89,8,8.99,1.22 (1.03-1.40),81,91.01,2.98 (2.61-3.34)
oligodendrocyte progenitor cells 12,708.0,0.056,15.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,2107.0,0.165,57.0,358,30,8.38,1.64 (1.41-1.87),328,91.62,4.14 (3.96-4.33)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.044,9.0,105,10,9.52,1.05 (0.78-1.32),95,90.48,3.46 (3.13-3.80)
oligodendrocytes 16,113.0,0.225,86.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,157.0,0.27,28.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.164,83.0,104,15,14.42,1.32 (1.03-1.60),89,85.58,3.15 (2.86-3.44)
oligodendrocytes 0,2078.0,0.127,77.0,238,8,3.36,2.01 (1.45-2.57),230,96.64,3.70 (3.48-3.93)
microglia 1,1615.0,0.089,21.0,161,26,16.15,1.70 (1.45-1.94),135,83.85,3.66 (3.37-3.94)
oligodendrocytes 3,743.0,0.062,20.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.151,68.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
