tipo_celular,module_size,KCNN3_MM,KCNN3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,222.0,0.219,56.0,98,1,1.02,2.68 (NA-NA),97,98.98,4.62 (4.21-5.03)
oligodendrocyte progenitor cells 7,200.0,0.286,85.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04)
GABA neurons expressing GLU receptors 22,599.0,0.548,100.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,685.0,0.296,92.0,135,2,1.48,0.92 (0.19-1.65),133,98.52,3.23 (2.92-3.54)
da like neurons 11,142.0,0.283,65.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA)
GABA neurons expressing GABA receptors 13,90.0,0.149,42.0,4,1,25.0,7.70 (NA-NA),3,75.0,4.56 (1.37-7.75)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.24,92.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.25,98.0,66,2,3.03,1.10 (-0.65-2.86),64,96.97,3.30 (2.89-3.72)
oligodendrocyte progenitor cells 12,3303.0,0.124,91.0,276,5,1.81,1.73 (1.15-2.31),271,98.19,3.59 (3.37-3.80)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,418.0,0.334,76.0,54,17,31.48,3.42 (2.72-4.13),37,68.52,3.81 (3.25-4.37)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,307.0,0.186,87.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,141.0,0.283,68.0,30,5,16.67,4.59 (2.29-6.89),25,83.33,5.90 (4.95-6.86)
astrocytes 4,161.0,0.138,22.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
