tipo_celular,module_size,SH3BP5_MM,SH3BP5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,393.0,0.189,69.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,666.0,0.109,10.0,127,9,7.09,2.10 (1.43-2.77),118,92.91,4.03 (3.69-4.38)
GABA neurons expressing GLU receptors 22,1069.0,0.248,93.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,300.0,0.204,65.0,16,5,31.25,2.70 (2.17-3.23),11,68.75,1.74 (0.48-3.00)
da like neurons 11,289.0,0.21,63.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,65.0,0.11,8.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59)
endothelial cells 9,658.0,0.093,10.0,120,10,8.33,3.17 (2.31-4.03),110,91.67,4.74 (4.42-5.07)
oligodendrocytes 20,938.0,0.116,45.0,169,8,4.73,2.48 (1.47-3.50),161,95.27,3.54 (3.32-3.76)
GABA like neurons 14,3052.0,0.149,59.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.083,34.0,25,3,12.0,3.51 (0.27-6.75),22,88.0,2.76 (1.72-3.80)
oligodendrocytes 10,806.0,0.072,15.0,261,7,2.68,2.92 (2.16-3.67),254,97.32,4.42 (4.17-4.66)
connective tissue cells 21,136.0,0.276,46.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,86.0,0.176,50.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,448.0,0.112,62.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,309.0,0.22,90.0,30,2,6.67,5.16 (5.16-5.16),28,93.33,6.18 (5.53-6.83)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.11,61.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82)
oligodendrocytes 2,131.0,0.187,52.0,20,2,10.0,2.42 (2.37-2.47),18,90.0,4.81 (4.10-5.52)
