tipo_celular,module_size,SLC37A3_MM,SLC37A3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,393.0,0.074,3.0,59,4,6.78,3.74 (3.16-4.31),55,93.22,3.05 (2.52-3.59)
astrocytes 5,1656.0,0.091,15.0,136,5,3.68,3.76 (3.68-3.85),131,96.32,3.18 (2.90-3.47)
oligodendrocyte progenitor cells 7,4285.0,0.164,90.0,353,14,3.97,1.30 (0.73-1.87),339,96.03,4.03 (3.85-4.21)
GABA neurons expressing GLU receptors 22,1069.0,0.164,50.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1247.0,0.064,7.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,140.0,0.107,11.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.094,22.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,322.0,0.457,98.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2090.0,0.147,45.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,283.0,0.134,47.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.03,3.0,276,7,2.54,2.07 (1.41-2.72),269,97.46,3.59 (3.37-3.81)
oligodendrocytes 10,806.0,0.055,9.0,261,18,6.9,3.19 (2.73-3.65),243,93.1,4.48 (4.23-4.74)
connective tissue cells 21,102.0,0.411,93.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.064,27.0,105,9,8.57,2.41 (1.48-3.34),96,91.43,3.29 (2.94-3.65)
oligodendrocytes 16,121.0,0.467,100.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,125.0,0.28,31.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.125,16.0,104,10,9.62,2.49 (1.54-3.45),94,90.38,2.91 (2.61-3.20)
oligodendrocytes 0,2078.0,0.106,33.0,238,2,0.84,1.10 (-0.65-2.86),236,99.16,3.66 (3.44-3.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,854.0,0.047,4.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,1630.0,0.136,38.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
