tipo_celular,module_size,ANKRD13D_MM,ANKRD13D_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.129,24.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91)
T cells 18,393.0,0.076,5.0,59,1,1.69,2.74 (NA-NA),58,98.31,3.11 (2.60-3.62)
astrocytes 5,328.0,0.123,26.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,4285.0,0.095,6.0,353,14,3.97,1.93 (1.28-2.59),339,96.03,3.99 (3.80-4.17)
GABA neurons expressing GLU receptors 22,714.0,0.093,6.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00)
GLU like neurons 17,1247.0,0.104,28.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,853.0,0.151,63.0,133,7,5.26,2.74 (1.66-3.82),126,94.74,3.28 (2.96-3.61)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.09,16.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,403.0,0.177,69.0,18,1,5.56,0.95 (NA-NA),17,94.44,1.93 (1.22-2.64)
GABA like neurons 14,2090.0,0.098,12.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,603.0,0.05,22.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11)
oligodendrocyte progenitor cells 12,1049.0,0.098,53.0,235,1,0.43,1.29 (NA-NA),234,99.57,3.84 (3.61-4.07)
oligodendrocytes 10,2107.0,0.092,24.0,358,16,4.47,1.72 (1.12-2.33),342,95.53,3.99 (3.80-4.18)
connective tissue cells 21,102.0,0.263,38.0,5,0,0.0,NA,5,100.0,1.38 (1.02-1.75)
astrocytes 15,1401.0,0.063,28.0,96,2,2.08,2.70 (1.32-4.09),94,97.92,3.64 (3.18-4.09)
oligodendrocytes 16,75.0,0.282,91.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,58.0,0.329,69.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.17,90.0,104,6,5.77,2.20 (0.94-3.45),98,94.23,2.91 (2.62-3.19)
oligodendrocytes 0,613.0,0.098,8.0,127,4,3.15,3.43 (2.75-4.11),123,96.85,3.04 (2.61-3.47)
microglia 1,1615.0,0.064,2.0,161,9,5.59,1.80 (0.74-2.86),152,94.41,3.37 (3.10-3.64)
oligodendrocytes 3,743.0,0.064,24.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.154,76.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
