tipo_celular,module_size,PSMB5_MM,PSMB5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,296.0,0.15,29.0,251,2,0.8,4.26 (4.20-4.33),249,99.2,4.06 (3.82-4.30)
GABA neurons expressing GLU receptors 22,400.0,0.195,49.0,24,11,45.83,1.48 (0.67-2.29),13,54.17,2.73 (2.25-3.21)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.299,81.0,410,25,6.1,3.28 (2.81-3.75),385,93.9,4.32 (4.13-4.52)
GABA neurons expressing GABA receptors 13,417.0,0.162,50.0,213,38,17.84,2.45 (1.92-2.97),175,82.16,4.08 (3.83-4.33)
endothelial cells 9,916.0,0.24,60.0,302,10,3.31,3.40 (2.47-4.33),292,96.69,4.00 (3.77-4.23)
oligodendrocytes 20,938.0,0.164,68.0,169,18,10.65,3.17 (2.48-3.86),151,89.35,3.52 (3.28-3.75)
GABA like neurons 14,2402.0,0.447,84.0,455,40,8.79,2.48 (2.01-2.95),415,91.21,4.57 (4.39-4.76)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.074,37.0,235,10,4.26,3.92 (3.58-4.25),225,95.74,3.82 (3.58-4.06)
oligodendrocytes 10,806.0,0.216,66.0,261,7,2.68,4.01 (3.19-4.84),254,97.32,4.37 (4.12-4.62)
connective tissue cells 21,145.0,0.312,62.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,113.0,0.284,89.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75)
da neurons 6,409.0,0.244,86.0,235,13,5.53,2.91 (2.20-3.62),222,94.47,4.06 (3.80-4.32)
astrocytes microglia 23,131.0,0.39,82.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.167,48.0,252,36,14.29,2.51 (1.99-3.03),216,85.71,4.40 (4.15-4.65)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.105,43.0,345,21,6.09,3.95 (3.78-4.11),324,93.91,4.30 (4.07-4.52)
oligodendrocytes 2,526.0,0.298,59.0,213,4,1.88,4.03 (3.69-4.37),209,98.12,3.98 (3.70-4.26)
