tipo_celular,module_size,SLC25A3_MM,SLC25A3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184,0.193,42.0,21,7,33.33,0.85 (0.30-1.41),14,66.67,3.08 (2.51-3.65)
T cells 18,282,0.286,86.0,241,6,2.49,2.83 (2.25-3.40),235,97.51,4.10 (3.84-4.36)
astrocytes 5,228,0.168,45.0,266,36,13.53,2.46 (2.02-2.90),230,86.47,4.43 (4.23-4.64)
oligodendrocyte progenitor cells 7,296,0.238,72.0,251,7,2.79,2.84 (2.42-3.26),244,97.21,4.12 (3.87-4.36)
GABA neurons expressing GLU receptors 22,203,0.312,66.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,380,0.127,21.0,39,2,5.13,1.90 (1.59-2.22),37,94.87,3.03 (2.45-3.61)
da like neurons 11,1220,0.367,90.0,410,27,6.59,2.64 (2.24-3.04),383,93.41,4.38 (4.19-4.58)
GABA neurons expressing GABA receptors 13,417,0.136,32.0,213,32,15.02,2.15 (1.67-2.63),181,84.98,4.09 (3.85-4.34)
endothelial cells 9,916,0.243,61.0,302,16,5.3,2.68 (2.08-3.29),286,94.7,4.08 (3.85-4.32)
oligodendrocytes 20,221,0.104,12.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,2402,0.62,96.0,455,26,5.71,2.28 (1.63-2.93),429,94.29,4.49 (4.31-4.67)
astrocytes 8,520,0.317,89.0,288,19,6.6,2.67 (2.04-3.31),269,93.4,4.28 (4.08-4.48)
oligodendrocyte progenitor cells 12,1049,0.094,51.0,235,15,6.38,3.13 (2.47-3.80),220,93.62,3.87 (3.63-4.11)
oligodendrocytes 10,735,0.323,100.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,139,0.276,32.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,367,0.214,88.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,313,0.261,64.0,291,15,5.15,2.58 (2.12-3.04),276,94.85,4.45 (4.22-4.68)
da neurons 6,409,0.252,88.0,235,7,2.98,2.76 (2.06-3.46),228,97.02,4.03 (3.77-4.28)
astrocytes microglia 23,101,0.24,9.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.146,54.0,104,4,3.85,0.81 (0.05-1.57),100,96.15,2.95 (2.67-3.23)
oligodendrocytes 0,546,0.139,31.0,252,27,10.71,2.21 (1.59-2.84),225,89.29,4.35 (4.10-4.60)
microglia 1,214,0.203,56.0,227,23,10.13,2.83 (2.42-3.25),204,89.87,4.25 (4.01-4.50)
oligodendrocytes 3,457,0.192,79.0,345,11,3.19,2.69 (1.86-3.52),334,96.81,4.32 (4.11-4.53)
oligodendrocytes 2,528,0.217,60.0,175,11,6.29,3.14 (2.11-4.18),164,93.71,4.46 (4.10-4.82)
