tipo_celular,module_size,ADSS_MM,ADSS_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.376,97.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,518.0,0.133,33.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.178,97.0,353,23,6.52,1.55 (1.09-2.00),330,93.48,4.11 (3.93-4.28)
GABA neurons expressing GLU receptors 22,567.0,0.102,9.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,637.0,0.109,26.0,91,9,9.89,0.97 (0.26-1.69),82,90.11,5.09 (4.64-5.54)
da like neurons 11,101.0,0.191,43.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,101.0,0.16,47.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,450.0,0.175,41.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,938.0,0.114,43.0,169,27,15.98,3.39 (2.88-3.90),142,84.02,3.50 (3.25-3.74)
GABA like neurons 14,3052.0,0.146,57.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.121,55.0,25,2,8.0,2.01 (-1.53-5.55),23,92.0,2.96 (1.92-3.99)
oligodendrocytes 10,2107.0,0.106,31.0,358,17,4.75,1.16 (0.72-1.59),341,95.25,4.05 (3.86-4.23)
connective tissue cells 21,100.0,0.26,38.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,82.0,0.131,8.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,76.0,0.335,62.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,613.0,0.193,87.0,127,1,0.79,2.14 (NA-NA),126,99.21,3.06 (2.64-3.48)
microglia 1,1615.0,0.101,37.0,161,18,11.18,1.20 (0.78-1.61),143,88.82,3.60 (3.34-3.86)
oligodendrocytes 3,681.0,0.206,96.0,87,10,11.49,1.37 (0.78-1.96),77,88.51,2.76 (2.48-3.03)
oligodendrocytes 2,921.0,0.166,89.0,200,1,0.5,1.32 (NA-NA),199,99.5,3.64 (3.37-3.90)
