tipo_celular,module_size,SMAP1_MM,SMAP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218,0.113,3.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,282,0.072,7.0,241,0,0.0,NA,241,100.0,4.05 (3.80-4.31)
astrocytes 5,1141,0.146,71.0,166,7,4.22,3.47 (1.84-5.09),159,95.78,3.39 (3.13-3.64)
oligodendrocyte progenitor cells 7,4285,0.127,37.0,353,11,3.12,2.06 (1.03-3.09),342,96.88,3.97 (3.78-4.15)
GABA neurons expressing GLU receptors 22,823,0.146,29.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,1316,0.146,69.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,77,0.372,73.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
GABA neurons expressing GABA receptors 13,357,0.093,10.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64)
endothelial cells 9,1653,0.098,25.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,298,0.038,8.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,1300,0.169,31.0,306,18,5.88,2.68 (1.93-3.42),288,94.12,5.32 (5.07-5.58)
astrocytes 8,262,0.187,74.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,218,0.17,37.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,806,0.069,14.0,261,6,2.3,3.36 (1.91-4.81),255,97.7,4.40 (4.15-4.64)
connective tissue cells 21,92,0.268,44.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28)
astrocytes 15,338,0.119,26.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,123,0.195,35.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,409,0.116,47.0,235,0,0.0,NA,235,100.0,3.97 (3.72-4.22)
astrocytes microglia 23,110,0.212,4.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752,0.145,37.0,96,1,1.04,3.41 (NA-NA),95,98.96,3.29 (2.95-3.62)
oligodendrocytes 0,1186,0.115,12.0,300,4,1.33,3.38 (2.40-4.35),296,98.67,3.80 (3.59-4.01)
microglia 1,1615,0.082,12.0,161,11,6.83,2.76 (1.54-3.98),150,93.17,3.32 (3.05-3.59)
oligodendrocytes 3,854,0.054,9.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,804,0.113,9.0,84,4,4.76,1.16 (0.44-1.88),80,95.24,2.79 (2.44-3.13)
