tipo_celular,module_size,JUNB_MM,JUNB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.216,63.0,102,32,31.37,2.35 (2.00-2.70),70,68.63,4.07 (3.61-4.52)
T cells 18,282.0,0.443,100.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,328.0,0.302,87.0,128,1,0.78,NA,127,99.22,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.205,47.0,62,3,4.84,2.90 (2.44-3.36),59,95.16,4.12 (3.65-4.58)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,603.0,0.328,98.0,89,9,10.11,1.39 (1.01-1.78),80,89.89,2.98 (2.61-3.35)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,57.0,0.342,72.0,1,1,100.0,NA,0,0.0,NA
astrocytes 15,338.0,0.163,59.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,111.0,0.28,21.0,2,0,0.0,NA,2,100.0,1.26 (-0.42-2.94)
astrocytes 4,208.0,0.524,97.0,173,4,2.31,3.94 (2.30-5.57),169,97.69,3.79 (3.49-4.10)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,406.0,0.141,34.0,278,7,2.52,5.47 (4.47-6.48),271,97.48,4.32 (4.04-4.60)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
